source_record_id,source_id,source_workflow_run_id,source_artifact_name,source_artifact_digest_sha256,snapshot_name,snapshot_sha256,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,source_period_type,value,unit,source_integrity_status,current_geography_mapping_status,canonical_indicator_target,growth_input_status,notes
bps484_1971_1372_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1372,Kota Solok,34,Laki-Laki + Perempuan,71,1971,census,24769,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1373_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1373,Sawahlunto,34,Laki-Laki + Perempuan,71,1971,census,12426,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1374_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1374,Padang Panjang,34,Laki-Laki + Perempuan,71,1971,census,30699,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1375_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1375,Bukittinggi,34,Laki-Laki + Perempuan,71,1971,census,63356,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1376_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1376,Payakumbuh,34,Laki-Laki + Perempuan,71,1971,census,63402,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1300_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1300,SUMATERA BARAT (Provinsi),34,Laki-Laki + Perempuan,80,1980,census,3406816,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1302_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1302,Pesisir Selatan,34,Laki-Laki + Perempuan,80,1980,census,314312,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1303_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1303,Kab.Solok,34,Laki-Laki + Perempuan,80,1980,census,366494,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1304_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1304,Sijunjung,34,Laki-Laki + Perempuan,80,1980,census,206202,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1305_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1305,Tanah Datar,34,Laki-Laki + Perempuan,80,1980,census,329680,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
