geography_id,canonical_name,djpk_province_selector,djpk_pemda_selector,djpk_source_name,year,period_selector,conceptual_family,source_account_label,source_account_label_normalized,budget_rupiah_raw,realization_rupiah_raw,realization_idr_billion,percentage_raw,html_display_realization_raw,html_crosscheck_status,taxonomy_contract_type,claim_type,html_response_sha256,export_response_sha256
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2021,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1320967573758,1260792546306,1260.792546306,95.44,"1.260,79 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,9d982b6d38f7c48bfbe0410eb82edba9d92040b4a962bdf5fcdd5bc84f39b690,c06ebd090980c19d7fc5f69e5e3b4731eb07f8816619a833673c40086627b233
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2021,12,own_source_revenue_pad,PAD,pad,102717000000,79852144929,79.852144929,77.74,"79,85 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,9d982b6d38f7c48bfbe0410eb82edba9d92040b4a962bdf5fcdd5bc84f39b690,c06ebd090980c19d7fc5f69e5e3b4731eb07f8816619a833673c40086627b233
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2021,12,total_expenditure,Belanja Daerah,belanja daerah,1354715388224,1266371638223,1266.371638223,93.48,"1.266,37 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,9d982b6d38f7c48bfbe0410eb82edba9d92040b4a962bdf5fcdd5bc84f39b690,c06ebd090980c19d7fc5f69e5e3b4731eb07f8816619a833673c40086627b233
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2021,12,capital_expenditure,Belanja Modal,belanja modal,172217265281,147622625105,147.622625105,85.72,"147,62 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,9d982b6d38f7c48bfbe0410eb82edba9d92040b4a962bdf5fcdd5bc84f39b690,c06ebd090980c19d7fc5f69e5e3b4731eb07f8816619a833673c40086627b233
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2022,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1296949298946,1225539476814.6,1225.5394768146,94.49,"1.225,54 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,781539094c92b8b536b4838de6300f73f606cf9a13c38d54c684d0cba50e34e1,e243ea393b0097e46a346c1acbf61553b6a7c88ae8da1f9641fd57fa274b2360
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2022,12,own_source_revenue_pad,PAD,pad,111691854714,82986337456.64,82.98633745664,74.30,"82,99 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,781539094c92b8b536b4838de6300f73f606cf9a13c38d54c684d0cba50e34e1,e243ea393b0097e46a346c1acbf61553b6a7c88ae8da1f9641fd57fa274b2360
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2022,12,total_expenditure,Belanja Daerah,belanja daerah,1323949298946,1230594731297.8,1230.5947312978,92.95,"1.230,59 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,781539094c92b8b536b4838de6300f73f606cf9a13c38d54c684d0cba50e34e1,e243ea393b0097e46a346c1acbf61553b6a7c88ae8da1f9641fd57fa274b2360
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2022,12,capital_expenditure,Belanja Modal,belanja modal,196062373499,149956373662,149.956373662,76.48,"149,96 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,781539094c92b8b536b4838de6300f73f606cf9a13c38d54c684d0cba50e34e1,e243ea393b0097e46a346c1acbf61553b6a7c88ae8da1f9641fd57fa274b2360
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2023,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1250302474819,1177368623694.8,1177.3686236948,94.17,"1.177,37 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,79769ee70ba0dbe414eb411ba489b8246adff232c9de2aeaff20e25aa8df1735,642494ad0f5a31cec3c140230cac780c7a7f299a84dfe2363c45ad63a47b0ef8
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2023,12,own_source_revenue_pad,PAD,pad,109697016529,96365815547.76,96.36581554776,87.85,"96,37 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,79769ee70ba0dbe414eb411ba489b8246adff232c9de2aeaff20e25aa8df1735,642494ad0f5a31cec3c140230cac780c7a7f299a84dfe2363c45ad63a47b0ef8
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2023,12,total_expenditure,Belanja Daerah,belanja daerah,1285007474819,1143843828231.4,1143.8438282314,89.01,"1.143,84 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,79769ee70ba0dbe414eb411ba489b8246adff232c9de2aeaff20e25aa8df1735,642494ad0f5a31cec3c140230cac780c7a7f299a84dfe2363c45ad63a47b0ef8
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2023,12,capital_expenditure,Belanja Modal,belanja modal,125751425228,126237340955,126.237340955,100.39,"126,24 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,79769ee70ba0dbe414eb411ba489b8246adff232c9de2aeaff20e25aa8df1735,642494ad0f5a31cec3c140230cac780c7a7f299a84dfe2363c45ad63a47b0ef8
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2024,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1312457232299,1311071371197,1311.071371197,99.89,"1.311,07 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,252305469b9a95435647598ce821e5822ea8ba61f5a526b8b2d684827a5e4307,2cf747ca9548d8e533e981c139285e8f32e3c0c06980279227548af1c307d3f9
