indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
expected_years_schooling,idn.13.1308,2022,0.01,0.035273749608679315
expected_years_schooling,idn.13.1309,2022,0.01,0.1318802259227335
expected_years_schooling,idn.13.1310,2022,0.01,0.05942472843997213
expected_years_schooling,idn.13.1311,2022,0.01,0.09040927927453443
expected_years_schooling,idn.13.1312,2022,0.01,0.06402819132377366
expected_years_schooling,idn.13.1371,2022,0.01,0.011898238211211576
expected_years_schooling,idn.13.1372,2022,0.01,0.029887819254771925
expected_years_schooling,idn.13.1373,2022,0.01,0.12582143842292004
expected_years_schooling,idn.13.1374,2022,0.01,0.09422839662971585
expected_years_schooling,idn.13.1375,2022,0.01,0.05015377795028986
expected_years_schooling,idn.13.1376,2022,0.01,0.06811791983761037
expected_years_schooling,idn.13.1377,2022,0.01,0.05070797594460865
expected_years_schooling,idn.13.1301,2023,0.01,0.07928793622209776
expected_years_schooling,idn.13.1302,2023,0.01,0.011940570795411642
expected_years_schooling,idn.13.1303,2023,0.01,0.10107902615136558
expected_years_schooling,idn.13.1304,2023,0.01,0.09236212058691731
expected_years_schooling,idn.13.1305,2023,0.01,0.160878230101363
expected_years_schooling,idn.13.1306,2023,0.01,0.10318063428073825
expected_years_schooling,idn.13.1307,2023,0.01,0.059077567704679104
expected_years_schooling,idn.13.1308,2023,0.01,0.03581448514440497
expected_years_schooling,idn.13.1309,2023,0.01,0.13158395123100428
expected_years_schooling,idn.13.1310,2023,0.01,0.06225093095949841
expected_years_schooling,idn.13.1311,2023,0.01,0.09091306575519179
expected_years_schooling,idn.13.1312,2023,0.01,0.0645246628897729
expected_years_schooling,idn.13.1371,2023,0.01,0.011586389501006378
expected_years_schooling,idn.13.1372,2023,0.01,0.03145503899292064
expected_years_schooling,idn.13.1373,2023,0.01,0.12197861232276212
expected_years_schooling,idn.13.1374,2023,0.01,0.09453290333931771
expected_years_schooling,idn.13.1375,2023,0.01,0.05399007219177314
expected_years_schooling,idn.13.1376,2023,0.01,0.07395878106007685
expected_years_schooling,idn.13.1377,2023,0.01,0.04677893381317751
expected_years_schooling,idn.13.1301,2024,0.01,0.08696073433640114
expected_years_schooling,idn.13.1302,2024,0.01,0.012046201039492577
expected_years_schooling,idn.13.1303,2024,0.01,0.10455112223651197
expected_years_schooling,idn.13.1304,2024,0.01,0.09635816535666565
expected_years_schooling,idn.13.1305,2024,0.01,0.15208363022148902
expected_years_schooling,idn.13.1306,2024,0.01,0.10583954395565003
expected_years_schooling,idn.13.1307,2024,0.01,0.04688097392401647
expected_years_schooling,idn.13.1308,2024,0.01,0.038144093924629
expected_years_schooling,idn.13.1309,2024,0.01,0.12101934955879327
expected_years_schooling,idn.13.1310,2024,0.01,0.04875764145024357
expected_years_schooling,idn.13.1311,2024,0.01,0.08306135909225605
expected_years_schooling,idn.13.1312,2024,0.01,0.06786214954755927
expected_years_schooling,idn.13.1371,2024,0.01,0.011474091141695097
expected_years_schooling,idn.13.1372,2024,0.01,0.034890972060216525
expected_years_schooling,idn.13.1373,2024,0.01,0.11586811370643661
expected_years_schooling,idn.13.1374,2024,0.01,0.08995180086383595
expected_years_schooling,idn.13.1375,2024,0.01,0.04034654341693535
expected_years_schooling,idn.13.1376,2024,0.01,0.06385656325491207
expected_years_schooling,idn.13.1377,2024,0.01,0.047260065666362594
expected_years_schooling,idn.13.1301,2025,0.01,0.06839486450140213
expected_years_schooling,idn.13.1302,2025,0.01,0.012357225156722884
expected_years_schooling,idn.13.1303,2025,0.01,0.10430676403662897
expected_years_schooling,idn.13.1304,2025,0.01,0.0794909738105323
expected_years_schooling,idn.13.1305,2025,0.01,0.1671525246862316
expected_years_schooling,idn.13.1306,2025,0.01,0.11738090858975689
expected_years_schooling,idn.13.1307,2025,0.01,0.03577113405095657
expected_years_schooling,idn.13.1308,2025,0.01,0.029459618279473597
expected_years_schooling,idn.13.1309,2025,0.01,0.12109299683000285
expected_years_schooling,idn.13.1310,2025,0.01,0.04880105682167994
expected_years_schooling,idn.13.1311,2025,0.01,0.0730722075093094
expected_years_schooling,idn.13.1312,2025,0.01,0.07787662460458633
expected_years_schooling,idn.13.1371,2025,0.01,0.011431871652496439
expected_years_schooling,idn.13.1372,2025,0.01,0.011823259841595147
expected_years_schooling,idn.13.1373,2025,0.01,0.12280773456497066
expected_years_schooling,idn.13.1374,2025,0.01,0.06334366952845312
expected_years_schooling,idn.13.1375,2025,0.01,0.03949364236636714
expected_years_schooling,idn.13.1376,2025,0.01,0.03997601560202285
expected_years_schooling,idn.13.1377,2025,0.01,0.05096690756681058
mean_years_schooling,idn.13.1301,2018,0.1,0.20284395504523625
mean_years_schooling,idn.13.1302,2018,0.1,0.13505805201567825
mean_years_schooling,idn.13.1303,2018,0.1,0.04643272171395134
mean_years_schooling,idn.13.1304,2018,0.1,0.11068393538076145
mean_years_schooling,idn.13.1305,2018,0.1,0.16887849077927453
mean_years_schooling,idn.13.1306,2018,0.1,0.153695058099375
