indicator_id,geography_id,geography_name,favorable_direction_semantics,indicator_hierarchical_trajectory_qualified,selected_final_penalty,observed_2018,observed_2025,observed_change_2018_2025,shared_slope_per_year,geography_slope_deviation_per_year,hierarchical_slope_per_year,fitted_2018,fitted_2025,geography_full_fit_rmse,loo_min_slope_per_year,loo_max_slope_per_year,loo_same_direction_retention,stability_envelope_excludes_zero,trajectory_classification,stability_envelope_is_confidence_interval,causal_claim_authorized,guaranteed_future_trajectory_authorized,historical_boundary_continuity_claimed
expected_years_schooling,idn.13.1301,Kepulauan Mentawai,higher_is_generally_favorable,False,0.01,12.39,13.17,0.7799999999999994,0.07424812030075079,0.0025338234144062916,0.07678194371515708,12.573795065056613,13.111268671062712,0.10251019309773124,0.050607391684687406,0.08696073433640114,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1302,Pesisir Selatan,higher_is_generally_favorable,False,0.01,13.3,13.38,0.08000000000000007,0.07424812030075079,-0.06225072339094305,0.011997396909807733,13.298668319699306,13.382650098067959,0.002536136596573045,0.011880693510405738,0.012357225156722884,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1303,Solok,higher_is_generally_favorable,False,0.01,13.02,13.66,0.6400000000000006,0.07424812030075079,0.031776022522876105,0.10602414282362689,12.905904297015919,13.648073296781309,0.08947328245816351,0.10107902615136558,0.12229928785245092,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1304,Sijunjung,higher_is_generally_favorable,False,0.01,12.35,12.99,0.6400000000000006,0.07424812030075079,0.018462500977556556,0.09271062127830734,12.248381772237272,12.897356121185423,0.07688759543777848,0.0794909738105323,0.10720771508824015,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1305,Tanah Datar,higher_is_generally_favorable,False,0.01,13.88,15.06,1.1799999999999997,0.07424812030075079,0.08645655744115233,0.1607046777419031,13.980440027798206,15.10537277199153,0.09497678783352993,0.14640829200459662,0.1753412225109239,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1306,Padang Pariaman,higher_is_generally_favorable,False,0.01,13.57,14.21,0.6400000000000006,0.07424812030075079,0.03510440290920576,0.10935252320995655,13.500996538697473,14.26646420116717,0.08281963591394495,0.10318063428073825,0.11920198404689938,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1307,Agam,higher_is_generally_favorable,False,0.01,13.85,14.26,0.41000000000000014,0.07424812030075079,-0.02147806365840181,0.052770056642348975,13.771444659823926,14.140835056320368,0.08730174611791143,0.03577113405095657,0.06398066863948415,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1308,Lima Puluh Kota,higher_is_generally_favorable,False,0.01,13.27,13.53,0.2599999999999998,0.07424812030075079,-0.03871431923046749,0.0355338010702833,13.23876281525,13.487499422741985,0.02892620368531801,0.029459618279473597,0.04000153420462994,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1309,Pasaman,higher_is_generally_favorable,False,0.01,12.78,13.6,0.8200000000000003,0.07424812030075079,0.05638226323610024,0.13063038353685102,12.618783702959085,13.533196387717041,0.11257592360764117,0.12101934955879327,0.15362025475918176,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1310,Solok Selatan,higher_is_generally_favorable,False,0.01,12.69,13.08,0.39000000000000057,0.07424812030075079,-0.016366622350824,0.05788149794992679,12.611232517869125,13.016403003518613,0.0798209400128468,0.04875764145024357,0.06912234036264044,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1311,Dharmasraya,higher_is_generally_favorable,False,0.01,12.41,13.02,0.6099999999999994,0.07424812030075079,0.014302025494644113,0.0885501457953949,12.291657543793256,12.911508564361021,0.09255697787049233,0.0730722075093094,0.10543045690228588,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1312,Pasaman Barat,higher_is_generally_favorable,False,0.01,13.22,13.73,0.5099999999999998,0.07424812030075079,-0.009353249393914659,0.06489487090683613,13.366960369199095,13.821224465546948,0.0888734007560953,0.04396929550866441,0.07787662460458633,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1371,Padang,higher_is_generally_favorable,False,0.01,16.5,16.58,0.0799999999999983,0.07424812030075079,-0.06236959411902633,0.011878526181724459,16.493840921554714,16.576990604826783,0.0042259658569147335,0.011431871652496439,0.012772607059380891,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1372,Solok,higher_is_generally_favorable,False,0.01,14.3,14.59,0.28999999999999915,0.07424812030075079,-0.044895597090794444,0.029352523209956342,14.261645727211832,14.467113389681526,0.05676909202473128,0.011823259841595147,0.034890972060216525,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1373,Sawahlunto,higher_is_generally_favorable,False,0.01,13.15,13.89,0.7400000000000002,0.07424812030075079,0.05043872683193959,0.12468684713269038,13.004130399974146,13.876938329902979,0.10668302350182256,0.11586811370643661,0.14548980050108734,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1374,Padang Panjang,higher_is_generally_favorable,False,0.01,15.04,15.74,0.7000000000000011,0.07424812030075079,0.017273793696724354,0.09152191399747514,14.90173076207724,15.542384160059566,0.12124863402203123,0.06334366952845312,0.11124180906588102,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1375,Bukittinggi,higher_is_generally_favorable,False,0.01,14.95,15.29,0.33999999999999986,0.07424812030075079,-0.025281926957064577,0.04896619334368621,14.880888019072117,15.22365137247792,0.07454602233371539,0.03949364236636714,0.058831118322910624,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1376,Payakumbuh,higher_is_generally_favorable,False,0.01,14.24,14.79,0.5499999999999989,0.07424812030075079,-0.0076890592007498315,0.06655906110000095,14.13766504185011,14.603578469550115,0.10902411876952453,0.03997601560202285,0.08115828962195723,1.0,True,trajectory_not_robust,False,False,False,False
expected_years_schooling,idn.13.1377,Pariaman,higher_is_generally_favorable,False,0.01,14.52,14.81,0.2900000000000009,0.07424812030075079,-0.02433096113239898,0.04991715916835181,14.468071498860569,14.817491613039033,0.0472949031239792,0.04677893381317751,0.05733342312917058,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1301,Kepulauan Mentawai,higher_is_generally_favorable,False,0.1,6.95,8.21,1.2600000000000007,0.10877192982456105,0.07886402222565242,0.18763595205021347,6.841527904016585,8.154979568368079,0.10731042093735303,0.1783738539834179,0.20284395504523625,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1302,Pesisir Selatan,higher_is_generally_favorable,False,0.1,8.14,9.06,0.9199999999999999,0.10877192982456105,0.014347893193394357,0.1231198230179554,8.054988676617143,8.916827437742832,0.10042854030626018,0.10158425372672826,0.13505805201567825,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1303,Solok,higher_is_generally_favorable,False,0.1,7.84,8.25,0.41000000000000014,0.10877192982456105,-0.06835005402068182,0.04042187580387922,7.797517911619496,8.080471042246652,0.0901630471766043,0.012597320119762157,0.05090989375475667,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1304,Sijunjung,higher_is_generally_favorable,False,0.1,7.77,8.66,0.8900000000000006,0.10877192982456105,0.014699799351752238,0.12347172917631329,7.862398980371533,8.726701084605725,0.07931945916263669,0.11068393538076145,0.13268520709838874,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1305,Tanah Datar,higher_is_generally_favorable,False,0.1,8.44,9.46,1.0200000000000014,0.10877192982456105,0.04355610433708951,0.15232803416165056,8.321895740083345,9.388191979214898,0.08150921882084741,0.14213842382174807,0.16887849077927453,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1306,Padang Pariaman,higher_is_generally_favorable,False,0.1,7.5,8.78,1.2799999999999994,0.10877192982456105,0.053057570612749155,0.1618295004373102,7.559010978488907,8.691817481550078,0.09607215700857827,0.14832871091387992,0.17305423641241074,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1307,Agam,higher_is_generally_favorable,False,0.1,8.69,9.57,0.8800000000000008,0.10877192982456105,-0.003364716777280008,0.10540721304728104,8.693526021391047,9.431376512722014,0.08215217828422036,0.08508800400073199,0.11315680611029462,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1308,Lima Puluh Kota,higher_is_generally_favorable,False,0.1,7.97,8.49,0.5200000000000005,0.10877192982456105,-0.05098935020836516,0.05778257961619589,7.9170023618566345,8.321480419170006,0.08899404641392838,0.03073841683267322,0.06856377997071805,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1309,Pasaman,higher_is_generally_favorable,False,0.1,7.66,8.41,0.75,0.10877192982456105,-0.02764624170396636,0.08112568812059469,7.794560741350497,8.36244055819466,0.0916404975674002,0.06246172681442434,0.09251894092503574,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1310,Solok Selatan,higher_is_generally_favorable,False,0.1,8.15,9.2,1.049999999999999,0.10877192982456105,0.034993054483716896,0.14376498430827794,8.014829377533115,9.021184267691059,0.11273481422545396,0.11761541229295133,0.16269401342414622,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1311,Dharmasraya,higher_is_generally_favorable,False,0.1,8.25,9.31,1.0600000000000005,0.10877192982456105,0.018922673252045497,0.12769460307660654,8.222927563695816,9.116789785232061,0.11533195602268899,0.0994148449071514,0.1365262864099309,1.0,True,trajectory_not_robust,False,False,False,False
mean_years_schooling,idn.13.1312,Pasaman Barat,higher_is_generally_favorable,False,0.1,7.86,9.28,1.419999999999999,0.10877192982456105,0.08906930081802786,0.1978412306425889,7.819389675856853,9.204278290354976,0.06541051493059835,0.1874566014522611,0.20359120509132497,1.0,True,trajectory_not_robust,False,False,False,False
