observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
chirpsobs_6456d96962e90d316ad2fdb9,annual_rainfall,idn.13.1377,1988-01-01,1988-12-31,annual,4890.043103,millimetres,model_estimate,chirpsprov_9bfc6526f1c0b90065fc7c93,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99901085; mean_valid_area_fraction=0.99901085; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_647158a2511698423bfb8f7b,annual_rainfall,idn.13.1371,2016-01-01,2016-12-31,annual,4429.956716,millimetres,model_estimate,chirpsprov_bdfc0cb4713e768353b0af59,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99912533; mean_valid_area_fraction=0.99912533; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_647b1fde820661cbd4fab161,annual_rainfall,idn.13.1302,2021-01-01,2021-12-31,annual,3436.715819,millimetres,model_estimate,chirpsprov_46837b82c19c621130eb5220,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99990289; mean_valid_area_fraction=0.99990289; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_649f859551be9cea97ffcac8,annual_rainfall,idn.13.1374,2009-01-01,2009-12-31,annual,2642.372828,millimetres,model_estimate,chirpsprov_abb2dd60088714756570bb9f,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_64de7dba08862d7d76294477,annual_rainfall,idn.13.1307,1981-01-01,1981-12-31,annual,2965.834491,millimetres,model_estimate,chirpsprov_b1892e858b9a21df3f3835f6,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_64f59f17c2297023b29b6cce,annual_rainfall,idn.13.1303,2020-01-01,2020-12-31,annual,2824.854401,millimetres,model_estimate,chirpsprov_869749660f299278b4209870,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_6519a7a33a741d726b6878e8,annual_rainfall,idn.13.1302,1990-01-01,1990-12-31,annual,2890.854041,millimetres,model_estimate,chirpsprov_8a1debf06ff2601da517ede7,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99990289; mean_valid_area_fraction=0.99990289; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_659863eea6640c215b487cba,annual_rainfall,idn.13.1307,2001-01-01,2001-12-31,annual,2436.763981,millimetres,model_estimate,chirpsprov_08cf9a732d039d72eccb02c0,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_65b1cc557d1fa2961f6ee8a0,annual_rainfall,idn.13.1375,1997-01-01,1997-12-31,annual,1004.027669,millimetres,model_estimate,chirpsprov_549fb51b47f3004dd71af8d7,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_66281443eabad23c3467b831,annual_rainfall,idn.13.1308,1991-01-01,1991-12-31,annual,2597.130011,millimetres,model_estimate,chirpsprov_6a2c532764a205347fffab60,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
