provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
chirpsprov_46837b82c19c621130eb5220,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2021,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:47:09 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_549fb51b47f3004dd71af8d7,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1997,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:31:26 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_5887a41b20f86613f9be9d94,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1983,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:22:49 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_5b65845f0a067c46b1ff4bb4,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2013,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:41:50 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_6a2c532764a205347fffab60,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1991,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:27:42 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_6c1e56941bc5b402ba2b4cbf,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1986,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:24:38 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_6d539a98f8e70f0f921b9fea,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2010,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:39:52 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_6f7cb8097bed96485afd3cd3,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2023,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:48:28 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_7c2bd4ffc29c3c1f203409a0,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1987,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:25:14 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_7d3a32c4624fac5599297aae,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2005,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:36:37 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
