provenance_id,source_organization,source_data,source_title,source_path,source_sha256,resource_url,resource_sha256,retrieved_at,notes
bpbdprov_391582da56d97f0abd7efe06,BPBD Provinsi Sumatera Barat,Pusdalops BPBD Sumatera Barat,Dampak Bencana Terhadap Pemukiman Per KabKota 2024,data/processed/bpbd/sumbar_open_data/2024/dampak-bencana-terhadap-pemukiman-per-kabkota-2024/01-Sheet1.csv,865a27517ffcce06b3ee5fe7322ed3415dd2164bfeea5e75a0a3f2c43868b755,https://data.sumbarprov.go.id/dataset/0765a858-c8c4-4640-b319-e57c7001ba12/resource/f3b42679-c800-48eb-bfd7-5c1037c779a3/download/dampak-bencana-terhadap-pemukiman-per-kabkota-2024.xlsx,85852b8994c64a21088b191ec6c56a79b6f99c88f330a7b71f9fdf6d12e105b4,2026-09-01T08:59:48.208684+00:00,Source-native XLSX worksheet materialized to CSV without semantic reinterpretation before canonical promotion.
bpbdprov_4698d57b104a9dc21a24906c,BPBD Provinsi Sumatera Barat,Pusdalops BPBD Sumatera Barat,Jumlah Korban Per KabKota 2024,data/processed/bpbd/sumbar_open_data/2024/jumlah-korban-per-kabkota-2024/01-Sheet1.csv,5038d4c933e21ca16fe284d8d64ef9ba9df1fb79c58eebf37bcb4901fa97eb45,https://data.sumbarprov.go.id/dataset/b16dce09-9c09-4eb6-9bf6-e544b9f9f84f/resource/539c6af0-c776-4ff2-a0b7-c79a8a0499b9/download/jumlah-korban-per-kabkota-2024.xlsx,f3852463b53f8b8cb99d4c1584e3b2efa3a4d571b53c7d329b32fb7b0be8daf4,2026-09-01T08:59:48.208684+00:00,Source-native XLSX worksheet materialized to CSV without semantic reinterpretation before canonical promotion.
bpbdprov_5c1e682a7d4d01cc5be8940e,BPBD Provinsi Sumatera Barat,Pusdalops BPBD Sumatera Barat,Dampak Bencana Terhadap Fasilitas Umum Per KabKota 2024,data/processed/bpbd/sumbar_open_data/2024/dampak-bencana-terhadap-fasilitas-umum-per-kabkota-2024/01-Sheet1.csv,30fa661e4270f45b79334818eed50370e125c83632cde8a18fccefcd5447a240,https://data.sumbarprov.go.id/dataset/637ee0d2-c249-4e33-9441-688dfefbf214/resource/749b7d4b-041f-4c99-8dde-495fbc6aaf8d/download/dampak-bencana-terhadap-fasilitas-umum-per-kabkota-2024.xlsx,5f39e5eae29cdde4be6bb34b8bf5de30f75e01866ec67911276623e4c6092666,2026-09-01T08:59:48.208684+00:00,Source-native XLSX worksheet materialized to CSV without semantic reinterpretation before canonical promotion.
