geography_id,geography_name,omitted_year,full_period_slope_mm_per_year,leave_one_year_out_slope_mm_per_year,same_direction_as_full
idn.13.1301,Kepulauan Mentawai,1981,-2.5519204144736922,-1.6926000240240104,True
idn.13.1301,Kepulauan Mentawai,1982,-2.5519204144736922,-4.16931474324324,True
idn.13.1301,Kepulauan Mentawai,1983,-2.5519204144736922,-2.0203763273809514,True
idn.13.1301,Kepulauan Mentawai,1984,-2.5519204144736922,-0.6693782613636353,True
idn.13.1301,Kepulauan Mentawai,1985,-2.5519204144736922,-2.1282768949999964,True
idn.13.1301,Kepulauan Mentawai,1986,-2.5519204144736922,-0.9779663613636609,True
idn.13.1301,Kepulauan Mentawai,1987,-2.5519204144736922,-2.0203763273809514,True
idn.13.1301,Kepulauan Mentawai,1988,-2.5519204144736922,-1.1299611833333643,True
idn.13.1301,Kepulauan Mentawai,1989,-2.5519204144736922,-2.363206973333328,True
idn.13.1301,Kepulauan Mentawai,1990,-2.5519204144736922,-2.1282768949999964,True
idn.13.1301,Kepulauan Mentawai,1991,-2.5519204144736922,-1.9680202638888762,True
idn.13.1301,Kepulauan Mentawai,1992,-2.5519204144736922,-2.9786935444664002,True
idn.13.1301,Kepulauan Mentawai,1993,-2.5519204144736922,-3.1245798227272634,True
idn.13.1301,Kepulauan Mentawai,1994,-2.5519204144736922,-3.3786148410714305,True
idn.13.1301,Kepulauan Mentawai,1995,-2.5519204144736922,-2.3109428752941126,True
idn.13.1301,Kepulauan Mentawai,1996,-2.5519204144736922,-2.9786935444664002,True
idn.13.1301,Kepulauan Mentawai,1997,-2.5519204144736922,-3.2066021800000106,True
idn.13.1301,Kepulauan Mentawai,1998,-2.5519204144736922,-2.5519204144736922,True
idn.13.1301,Kepulauan Mentawai,1999,-2.5519204144736922,-2.3109428752941126,True
idn.13.1301,Kepulauan Mentawai,2000,-2.5519204144736922,-2.5519204144736922,True
idn.13.1301,Kepulauan Mentawai,2001,-2.5519204144736922,-2.6385424768518577,True
idn.13.1301,Kepulauan Mentawai,2002,-2.5519204144736922,-2.462561122807017,True
idn.13.1301,Kepulauan Mentawai,2003,-2.5519204144736922,-2.363206973333328,True
idn.13.1301,Kepulauan Mentawai,2004,-2.5519204144736922,-2.5519204144736922,True
idn.13.1301,Kepulauan Mentawai,2005,-2.5519204144736922,-2.462561122807017,True
idn.13.1301,Kepulauan Mentawai,2006,-2.5519204144736922,-2.462561122807017,True
idn.13.1301,Kepulauan Mentawai,2007,-2.5519204144736922,-2.7837108735909846,True
idn.13.1301,Kepulauan Mentawai,2008,-2.5519204144736922,-2.9786935444664002,True
idn.13.1301,Kepulauan Mentawai,2009,-2.5519204144736922,-2.462561122807017,True
idn.13.1301,Kepulauan Mentawai,2010,-2.5519204144736922,-3.1245798227272634,True
idn.13.1301,Kepulauan Mentawai,2011,-2.5519204144736922,-2.1991749866666668,True
idn.13.1301,Kepulauan Mentawai,2012,-2.5519204144736922,-3.2726527085714316,True
idn.13.1301,Kepulauan Mentawai,2013,-2.5519204144736922,-2.5519204144736922,True
idn.13.1301,Kepulauan Mentawai,2014,-2.5519204144736922,-2.264730128151259,True
idn.13.1301,Kepulauan Mentawai,2015,-2.5519204144736922,-2.1282768949999964,True
idn.13.1301,Kepulauan Mentawai,2016,-2.5519204144736922,-3.5114534622425646,True
idn.13.1301,Kepulauan Mentawai,2017,-2.5519204144736922,-2.264730128151259,True
idn.13.1301,Kepulauan Mentawai,2018,-2.5519204144736922,-3.5642771828947373,True
idn.13.1301,Kepulauan Mentawai,2019,-2.5519204144736922,-0.9779663613636609,True
idn.13.1301,Kepulauan Mentawai,2020,-2.5519204144736922,-3.8552630571428526,True
idn.13.1301,Kepulauan Mentawai,2021,-2.5519204144736922,-3.9474036980519474,True
idn.13.1301,Kepulauan Mentawai,2022,-2.5519204144736922,-4.0588303239130585,True
idn.13.1301,Kepulauan Mentawai,2023,-2.5519204144736922,-0.26044538095238073,True
idn.13.1301,Kepulauan Mentawai,2024,-2.5519204144736922,-4.6711824642857245,True
idn.13.1301,Kepulauan Mentawai,2025,-2.5519204144736922,-3.6930207249999967,True
idn.13.1302,Pesisir Selatan,1981,4.650997666666669,6.795985835648153,True
idn.13.1302,Pesisir Selatan,1982,4.650997666666669,2.2448888451704407,True
idn.13.1302,Pesisir Selatan,1983,4.650997666666669,4.348844105042016,True
idn.13.1302,Pesisir Selatan,1984,4.650997666666669,6.528248831249989,True
idn.13.1302,Pesisir Selatan,1985,4.650997666666669,5.687508700292398,True
idn.13.1302,Pesisir Selatan,1986,4.650997666666669,6.590827392361103,True
idn.13.1302,Pesisir Selatan,1987,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,1988,4.650997666666669,5.593038372009566,True
idn.13.1302,Pesisir Selatan,1989,4.650997666666669,5.0790296020776875,True
idn.13.1302,Pesisir Selatan,1990,4.650997666666669,5.153819116322701,True
idn.13.1302,Pesisir Selatan,1991,4.650997666666669,4.348844105042016,True
idn.13.1302,Pesisir Selatan,1992,4.650997666666669,5.0395999432457765,True
idn.13.1302,Pesisir Selatan,1993,4.650997666666669,3.672599154891312,True
idn.13.1302,Pesisir Selatan,1994,4.650997666666669,3.6347615785024088,True
idn.13.1302,Pesisir Selatan,1995,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,1996,4.650997666666669,4.348844105042016,True
idn.13.1302,Pesisir Selatan,1997,4.650997666666669,3.8311454375000116,True
idn.13.1302,Pesisir Selatan,1998,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,1999,4.650997666666669,5.0790296020776875,True
idn.13.1302,Pesisir Selatan,2000,4.650997666666669,5.0790296020776875,True
idn.13.1302,Pesisir Selatan,2001,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,2002,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,2003,4.650997666666669,4.650997666666669,True
idn.13.1302,Pesisir Selatan,2004,4.650997666666669,4.9334660448718015,True
idn.13.1302,Pesisir Selatan,2005,4.650997666666669,4.459604509803912,True
idn.13.1302,Pesisir Selatan,2006,4.650997666666669,5.0395999432457765,True
idn.13.1302,Pesisir Selatan,2007,4.650997666666669,4.1780992285714245,True
idn.13.1302,Pesisir Selatan,2008,4.650997666666669,4.348844105042016,True
idn.13.1302,Pesisir Selatan,2009,4.650997666666669,5.273955372420263,True
idn.13.1302,Pesisir Selatan,2010,4.650997666666669,3.8311454375000116,True
idn.13.1302,Pesisir Selatan,2011,4.650997666666669,5.2495432735042655,True
idn.13.1302,Pesisir Selatan,2012,4.650997666666669,5.0790296020776875,True
idn.13.1302,Pesisir Selatan,2013,4.650997666666669,4.1780992285714245,True
idn.13.1302,Pesisir Selatan,2014,4.650997666666669,5.422992465077607,True
idn.13.1302,Pesisir Selatan,2015,4.650997666666669,5.744750938888902,True
idn.13.1302,Pesisir Selatan,2016,4.650997666666669,3.6036146611110955,True
idn.13.1302,Pesisir Selatan,2017,4.650997666666669,3.8311454375000116,True
idn.13.1302,Pesisir Selatan,2018,4.650997666666669,5.174753759259252,True
idn.13.1302,Pesisir Selatan,2019,4.650997666666669,5.885112189189186,True
idn.13.1302,Pesisir Selatan,2020,4.650997666666669,3.6347615785024088,True
idn.13.1302,Pesisir Selatan,2021,4.650997666666669,2.525692554166659,True
idn.13.1302,Pesisir Selatan,2022,4.650997666666669,2.2448888451704407,True
idn.13.1302,Pesisir Selatan,2023,4.650997666666669,5.761111133333357,True
idn.13.1302,Pesisir Selatan,2024,4.650997666666669,2.615502567307691,True
idn.13.1302,Pesisir Selatan,2025,4.650997666666669,2.5029065437500067,True
idn.13.1303,Solok,1981,11.629874724999997,13.425197263888897,True
idn.13.1303,Solok,1982,11.629874724999997,9.874485151785727,True
idn.13.1303,Solok,1983,11.629874724999997,11.826321174999999,True
idn.13.1303,Solok,1984,11.629874724999997,13.528874230179033,True
idn.13.1303,Solok,1985,11.629874724999997,12.391607252525255,True
idn.13.1303,Solok,1986,11.629874724999997,13.466756403381643,True
idn.13.1303,Solok,1987,11.629874724999997,10.720307393939382,True
idn.13.1303,Solok,1988,11.629874724999997,13.164721269230714,True
idn.13.1303,Solok,1989,11.629874724999997,12.178796386363636,True
idn.13.1303,Solok,1990,11.629874724999997,11.84402897037037,True
idn.13.1303,Solok,1991,11.629874724999997,11.10886713888889,True
idn.13.1303,Solok,1992,11.629874724999997,12.04047542037037,True
idn.13.1303,Solok,1993,11.629874724999997,10.878731964285718,True
idn.13.1303,Solok,1994,11.629874724999997,10.747623873376607,True
idn.13.1303,Solok,1995,11.629874724999997,11.629874724999997,True
idn.13.1303,Solok,1996,11.629874724999997,11.025132444444452,True
idn.13.1303,Solok,1997,11.629874724999997,11.025132444444452,True
idn.13.1303,Solok,1998,11.629874724999997,11.194074994047618,True
idn.13.1303,Solok,1999,11.629874724999997,12.100460073863651,True
