geography_id,geography_name,n_years,start_year,end_year,mean_rainfall_mm,median_rainfall_mm,sen_slope_mm_per_year,sen_slope_mm_per_decade,sen_ci95_low_mm_per_year,sen_ci95_high_mm_per_year,mk_s,mk_tau,mk_classical_z,mk_classical_p,hr_variance_factor_raw,hr_variance_factor,hr_significant_acf_lag_count,hr_lag1_rank_acf,hr_z,hr_p,hr_p_holm,early_sen_slope_mm_per_year,late_sen_slope_mm_per_year,loo_min_slope_mm_per_year,loo_max_slope_mm_per_year,loo_same_direction_retention,ci_excludes_zero_same_direction,split_direction_consistent,loo_stability_pass,robust_monotonic_classification,public_claim_authorized,claim_type,station_observation_equivalence,historical_boundary_continuity_claimed,spatial_frame
idn.13.1301,Kepulauan Mentawai,45,1981,2025,3353.2177591777777,3453.40801,-2.5519204144736922,-25.51920414473692,-12.879002999999996,8.990438000000013,-36.0,-0.03636363636363636,-0.34238119163116293,0.7320640410462689,1.0,1.0,0,-0.006324110671936759,-0.34238119163116293,0.7320640410462689,0.7320640410462689,-20.895246999999983,21.49919799999998,-4.6711824642857245,-0.26044538095238073,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1302,Pesisir Selatan,45,1981,2025,2851.6656074,2880.73662,4.650997666666669,46.50997666666669,-5.1327731428571495,16.02223274285713,108.0,0.10909090909090909,1.0467082144152695,0.29523417397862484,1.0,1.0,0,-0.008168642951251647,1.0467082144152695,0.29523417397862484,0.5904683479572497,-10.132907300000033,15.97963174999999,2.2448888451704407,6.795985835648153,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1303,Solok,45,1981,2025,2726.2148843555556,2702.129801,11.629874724999997,116.29874724999996,1.5982881111110854,22.695500647058825,224.0,0.22626262626262628,2.1814573066785523,0.029149608947643957,0.6230766345317316,0.6230766345317316,1,0.0034255599472990776,2.763605097662149,0.005716667906498385,0.09146668650397416,-9.070719199999985,15.328411894736842,9.639166231617665,13.528874230179033,1.0,True,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1304,Sijunjung,45,1981,2025,2796.965390288889,2833.835124,12.875544585185208,128.75544585185207,4.064588428571434,22.134500083333364,278.0,0.2808080808080808,2.7097025737666325,0.006734356731071145,0.6161185715041768,0.6161185715041768,1,0.0841897233201581,3.452148536374558,0.0005561414815880017,0.010566688150172032,-0.3691649999996116,15.003717571428556,10.63728839642858,14.446893719298245,1.0,True,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1305,Tanah Datar,45,1981,2025,2531.5588825333334,2565.285375,13.711327511494254,137.11327511494255,4.155497608695659,21.596454685714292,270.0,0.2727272727272727,2.6314440156795094,0.008502287394498431,0.592529040752223,0.592529040752223,1,-0.008563899868247694,3.4185293621584303,0.0006296052433154564,0.011332894379678216,-9.067961500000024,15.268369166666654,11.510021732142862,15.194606968245967,1.0,True,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1306,Padang Pariaman,45,1981,2025,3900.9433129777776,4045.251298,13.25866127430556,132.58661274305558,-0.5011789459459406,25.480581285714315,188.0,0.1898989898989899,1.8292937952864992,0.0673556076704036,1.0,1.0,0,0.06495388669301713,1.8292937952864992,0.0673556076704036,0.5388448613632288,-25.509814222222253,18.69847920000002,11.105813542857128,15.63606553571428,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1307,Agam,45,1981,2025,2837.0747397555556,2902.674174,7.2699828243243285,72.69982824324329,-0.22881289473683578,16.629682444444438,198.0,0.2,1.9271169928954028,0.05396505148214681,1.0,1.0,0,-0.0030303030303030303,1.9271169928954028,0.05396505148214681,0.5157291501015138,-17.883711777777787,9.221561299999985,5.950892475186108,8.568311727272704,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1308,Lima Puluh Kota,45,1981,2025,2682.3218062444444,2695.561325,11.442208167857132,114.42208167857132,3.173410695652167,19.162279225806447,272.0,0.27474747474747474,2.65100865520129,0.008025178484295292,1.0,1.0,0,0.09183135704874835,2.65100865520129,0.008025178484295292,0.10601057305570727,0.7369753333332483,10.887225777777758,9.422868838541664,12.896507523504278,1.0,True,True,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1309,Pasaman,45,1981,2025,3289.5823327333333,3304.686758,7.5764827827957,75.76482782795699,-0.030433696969697794,16.40308330769232,200.0,0.20202020202020202,1.9466816324171834,0.05157291501015138,1.0,1.0,0,0.0702239789196311,1.9466816324171834,0.05157291501015138,0.5157291501015138,-3.9861814117647127,9.511177562500023,6.335182536363639,9.038399764267984,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
idn.13.1310,Solok Selatan,45,1981,2025,2705.755781822222,2708.023711,9.048830401851834,90.48830401851833,-2.3990343999999824,19.74015152173912,158.0,0.1595959595959596,1.535824202459788,0.12458150214529295,1.0,1.0,0,0.06798418972332015,1.535824202459788,0.12458150214529295,0.5388448613632288,-14.286227307692325,15.121433285714245,6.913547575862058,11.353644150000006,1.0,False,False,True,no_robust_monotonic_trend,False,model_estimate,False,False,fixed_current_boundary_june_2026
