provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsprov_69f4d3401201e7f429f0371f,bps_webapi,bps-webapi://domain/1300/var/138/th/122,2026-08-15T16:09:12+00:00,2026-02-27 09:56:39,2a0672f10186ad2e81f4c59c9807118c1d0f9803f26a051dd848991da861573f,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-138-2022.json; source_var=138 Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota; source_period=122:2022
bpsprov_76330cb31f219a56a7d551dc,bps_webapi,bps-webapi://domain/1300/var/34/th/124,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,e8bf4972d76a80c2bed1c855d5b128a0d1ad747a19ab399d04857ac6332977f6,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2024.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=124:2024
bpsprov_7a75a5f8b1c67982a00bf2a0,bps_webapi,bps-webapi://domain/1300/var/139/th/122,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,b81fff679f232bb93752c0367697045885890371fc969ba1e58c705a0eb30026,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2022.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=122:2022
bpsprov_7b2838a6b20a2d227a05b86a,bps_webapi,bps-webapi://domain/1300/var/363/th/118,2026-08-15T16:08:36+00:00,2025-11-10 11:23:03,3fd2328badc3033911641ca77fbcd6c42dae4fb457d6e1919755d002cdef3fb1,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-363-2018.json; source_var=363 [Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=118:2018
bpsprov_803d538d0bd89745bac67ed6,bps_webapi,bps-webapi://domain/1300/var/141/th/121,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,a6cd7dc803a43e34246a28ff295e7b673190e1376c9d7f4059894f73c698415f,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2021.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=121:2021
bpsprov_81f9e12f5ebaf95e940bea3c,bps_webapi,bps-webapi://domain/1300/var/34/th/123,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,83b8b076bb2c9cdd758c8fc51444cbee8e61fbefad3df302296a950fbebbbaf9,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2023.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=123:2023
bpsprov_82e03fec5a6c78e8c783fdda,bps_webapi,bps-webapi://domain/1300/var/361/th/119,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,e94614b6f1a5ea78d9edd5146321cd81269d738b6defcdb993d4cd308836c805,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2019.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=119:2019
bpsprov_8e47c62ff74ef0847a5cff92,bps_webapi,bps-webapi://domain/1300/var/752/th/122,2026-08-15T16:08:49+00:00,2025-11-24 11:00:21,e8e1351b7c85d7f6acaacabb918443beba5fa9f96e13240ae4a5a898aa7a2319,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-752-2022.json; source_var=752 [Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat; source_period=122:2022
bpsprov_918fda098286d7132aaadd28,bps_webapi,bps-webapi://domain/1300/var/139/th/124,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,251342ad404d217cc20ae828d1512570f22ea3d08b48ab8ffdfc91969c1e40d4,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2024.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=124:2024
bpsprov_9e38f491ad34cf0e81b46a4c,bps_webapi,bps-webapi://domain/1300/var/752/th/121,2026-08-15T16:08:49+00:00,2025-11-24 11:00:21,f7602a6c8fab05f1c7c2de1d1d575013a9e61f903d3ae517ec6d03cde6468414,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-752-2021.json; source_var=752 [Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat; source_period=121:2021
