panel_row_id,panel_series_id,indicator_id,canonical_promotion_status,source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_vertical_dimension,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,value,source_key,source_snapshot,source_snapshot_sha256,canonical_geography_id,geography_mapping_status
internet_person_5plus:1311:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1311,Kab. Dharmasraya,595,Pernah Mengakses Internet,118,2018,0,Tahun,38.66,13113205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1311,qualified_current_code
internet_person_5plus:1312:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1312,Kab. Pasaman Barat,595,Pernah Mengakses Internet,118,2018,0,Tahun,22.65,13123205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1312,qualified_current_code
internet_person_5plus:1371:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1371,Kota Padang,595,Pernah Mengakses Internet,118,2018,0,Tahun,56.18,13713205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1371,qualified_current_code
internet_person_5plus:1372:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1372,Kota Solok,595,Pernah Mengakses Internet,118,2018,0,Tahun,52.87,13723205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1372,qualified_current_code
internet_person_5plus:1373:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1373,Kota Sawahlunto,595,Pernah Mengakses Internet,118,2018,0,Tahun,40.72,13733205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1373,qualified_current_code
internet_person_5plus:1374:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1374,Kota Padang Panjang,595,Pernah Mengakses Internet,118,2018,0,Tahun,56.38,13743205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1374,qualified_current_code
internet_person_5plus:1375:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1375,Kota Bukittinggi,595,Pernah Mengakses Internet,118,2018,0,Tahun,59.35,13753205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1375,qualified_current_code
internet_person_5plus:1376:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1376,Kota Payakumbuh,595,Pernah Mengakses Internet,118,2018,0,Tahun,51.29,13763205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1376,qualified_current_code
internet_person_5plus:1377:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1377,Kota Pariaman,595,Pernah Mengakses Internet,118,2018,0,Tahun,45.58,13773205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13.1377,qualified_current_code
internet_person_5plus:1378:320:595:118:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1378,Provinsi Sumatera Barat,595,Pernah Mengakses Internet,118,2018,0,Tahun,36.49,13783205951180,var-320-2018.json,6ec2c39ec6295b923f9ce3560b13ccd2280d660e6d5369323c7a375c6b0b4f77,idn.13,qualified_source_aggregate_alias
