expansion_row_id,expansion_series_id,indicator_id,canonical_promotion_status,claim_type,source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,source_geography_dimension,source_geography_id,source_geography_label,canonical_geography_id,geography_mapping_status,selected_vervar_id,selected_vervar_label,selected_turvar_id,selected_turvar_label,raw_value,denominator_raw_value,transform,source_key,denominator_source_key,source_snapshot,source_snapshot_sha256
bpsexp_106963f7395d136cc2702e1f,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,122,2022,0,Tahun,vervar,1374,Kota Padang Panjang,idn.13.1374,qualified_current_code,1374,Kota Padang Panjang,0,Tidak ada,0.296,,identity,13748301220,,var-83-2022.json,f9d090d628c4f62778543e48cc5d4ac2a9848e5fc8e21e2ecaeea5ec0cc0e565
bpsexp_10854e380b90232ee87320f0,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1372,Kota Solok,idn.13.1372,qualified_current_code,1372,Kota Solok,0,Tidak ada,0.251,,identity,13728301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
bpsexp_11093cd44636a69b19e03e83,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,121,2021,0,Tahun,vervar,1372,Kota Solok,idn.13.1372,qualified_current_code,1372,Kota Solok,0,Tidak ada,0.277,,identity,13728301210,,var-83-2021.json,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450
bpsexp_11138ba0a22cbd0dc184be3a,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1302,Kab.Pesisir Selatan,idn.13.1302,qualified_current_code,1302,Kab.Pesisir Selatan,0,Tidak ada,0.224,,identity,13028301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
bpsexp_12243517ddfab964147113b9,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,122,2022,0,Tahun,vervar,1371,Kota Padang,idn.13.1371,qualified_current_code,1371,Kota Padang,0,Tidak ada,0.354,,identity,13718301220,,var-83-2022.json,f9d090d628c4f62778543e48cc5d4ac2a9848e5fc8e21e2ecaeea5ec0cc0e565
bpsexp_1497f44476665147a24e0ae2,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,120,2020,0,Tahun,vervar,1375,Kota Bukittinggi,idn.13.1375,qualified_current_code,1375,Kota Bukittinggi,0,Tidak ada,0.265,,identity,13758301200,,var-83-2020.json,4f257ccd587771d8c5d9229f7514402734ff45250af010879e09a7011480aa84
bpsexp_1885161adc0120db04eba2e7,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,125,2025,0,Tahun,vervar,1373,Kota Sawahlunto,idn.13.1373,qualified_current_code,1373,Kota Sawahlunto,0,Tidak ada,0.249,,identity,13738301250,,var-83-2025.json,3b8e6ef917e238726223a38d0e7c040bdbc6ddaaa3110bffd08502b0f2da58cd
bpsexp_18c880d4191c0b83a3f65a6e,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1305,Kab.Tanah Datar,idn.13.1305,qualified_current_code,1305,Kab.Tanah Datar,0,Tidak ada,0.278,,identity,13058301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_19ade0db21512f3e682a3fd9,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1373,Kota Sawahlunto,idn.13.1373,qualified_current_code,1373,Kota Sawahlunto,0,Tidak ada,0.289,,identity,13738301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_1a9f649f02dac023851688b4,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1312,Kab.Pasaman Barat,idn.13.1312,qualified_current_code,1312,Kab.Pasaman Barat,0,Tidak ada,0.24,,identity,13128301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
