candidate_id,indicator_id,geography_id,bps_code,canonical_name,year,value,unit,claim_type,methodology_regime,source_var_id,source_vervar_id,source_reference_period,raw_snapshot_path,raw_snapshot_sha256
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1301,1301,Kepulauan Mentawai,2020,35.83,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1301,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1302,1302,Pesisir Selatan,2020,87.08,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1302,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1303,1303,Solok,2020,79.08,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1303,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1304,1304,Sijunjung,2020,61.23,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1304,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1305,1305,Tanah Datar,2020,85.63,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1305,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1306,1306,Padang Pariaman,2020,88.73,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1306,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1307,1307,Agam,2020,88.04,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1307,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1308,1308,Lima Puluh Kota,2020,74.75,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1308,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1309,1309,Pasaman,2020,70.98,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1309,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1310,1310,Solok Selatan,2020,77.04,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1310,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
