candidate_id,bps_var_id,year,resolved_th_id,selected_turvar_id,selected_turvar_label,selected_turth_id,source_title,source_unit,source_definition,source_note,source_last_update,claim_type,methodology_regime,raw_snapshot_path,raw_snapshot_sha256
dependency_ratio_projection,756,2024,124,0,Tidak ada,0,[Proyeksi 2020-2035] Dependency Ratio Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,,,"Sumber: Tahun 2020 merupakan Hasil Long Form Sensus Penduduk 2020 (LF SP2020), Tahun 2021-2024 Hasil Proyeksi Penduduk Kabupaten/Kota Provinsi Sumatera Barat 2020-2035-Hasil Sensusu Penduduk 2020",2025-04-28 11:21:27,model_estimate_projection,population_projection_2020_2035_sp2020_basis,data/processed/bps/m28_stage2a_numeric_pilot/var-756-2024.json,7c4afdb8e32fe4ce55d82020f10ec00b5c160bb5f7f99a884d98f68b87837ad4
internet_access_age5plus,320,2024,124,595,Pernah Mengakses Internet,0,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",2026-02-28 02:00:54,observed,susenas_age5plus_internet_last_3_months,data/processed/bps/m28_stage2a_numeric_pilot/var-320-2024.json,5e272324621c053ce769567219601efc58b39fcd9edc64f0f723e24aba38e18d
jkn_coverage,763,2024,124,0,Tidak ada,0,Cakupan Kepesertaan Jaminan Kesehatan Nasional Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,Catatan: Jaminan Kesehatan Nasional terdiri dari BPJS Mandiri maupun BPJS PBI,,2026-05-20 03:53:12,observed,jkn_membership_bpjs_mandiri_and_pbi,data/processed/bps/m28_stage2a_numeric_pilot/var-763-2024.json,bab2153714546fc0ce9e24c466b109f08554616c6ec1507b1d07feb436de7638
morbidity_rate,547,2024,124,0,Tidak ada,0,Angka Kesakitan/Morbiditas Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,Sumber: Survei Sosial Ekonomi Nasional (Susenas),Data Dikutip dari Publikasi Statistik Kesejahteraan Rakyat Provinsi Sumatera Barat,2024-12-19 03:14:37,observed,susenas_morbidity,data/processed/bps/m28_stage2a_numeric_pilot/var-547-2024.json,5d311a2dcba0d0478db66d4e44069ec36af3550673fec3b697378e4cb52bb3a9
real_grdp_per_capita_2010,169,2024,124,31,Harga Konstan 2010,0,[Seri 2010] Produk Domestik Regional Bruto per Kapita Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Ribu Rupiah,,"2023: angka sangat sementara
<br/>
2024: angka sangat-sangat sementara",2025-02-28 05:26:10,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,data/processed/bps/m28_stage2a_numeric_pilot/var-169-2024.json,1a22a50117c760cfe1d2d35172317c74c13bfbf8ebe985534cccddc12b669fb2
safe_drinking_water_access,352,2024,124,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2a_numeric_pilot/var-352-2024.json,21f03f075214afb0939ab04d563e9ddb1aa7bfee8a4a64e34b21b5e4e0b7b8f2
sanitation_access_adequate,341,2024,124,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak Menurut Kabupaten/Kota,Persen,"Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas)",Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka,2026-04-07 01:43:31,observed,susenas_adequate_sanitation,data/processed/bps/m28_stage2a_numeric_pilot/var-341-2024.json,41a3cfa2929711e07d8657eec641d54bebb306a51ea2929cf9fdb2b1cf3564a0
