candidate_id,bps_var_id,year,normalized_source_row_count,normalizer_observed_value_count,selected_geography_count,missing_geography_codes,duplicate_geography_codes,range_failure_codes,geography_representation_failure_ids,selector_failure_count,unit_failure_count,title_failure_count,classification,claim_type,methodology_regime,error,raw_snapshot_path,raw_snapshot_sha256
morbidity_rate,547,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2019.json,33316cd0cc37ec622e0b154b62cf745db6c2c6c66c676fcc3cfeb349128e418f
morbidity_rate,547,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2020.json,2ece435597a190e290c4deb53eaf00e20fbfbd0b95c869c99e9597f51b4d0825
morbidity_rate,547,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2021.json,3b724a6805737f12e6f1e74572933853715a0f0413f4aece7f51994738f3e086
morbidity_rate,547,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2022.json,9564a62daa105738f95982dcaeb1f80dca9795ce00a3547060e26e067bd3e2f3
morbidity_rate,547,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2023.json,59dc488d933a3457e8f00c761b2c4d8c90f2c1b27cb59382c8b9a6514cfe89ef
morbidity_rate,547,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2024.json,96b617a50b543612ec4d5c5d3675ca39991de5c860eaa708ae7c63e26b9a15b1
real_grdp_per_capita_2010,169,2018,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2018.json,c0871001bae5ce013575f2da0b72c38bec5390635b4b2a92f9c9ab718027dd6f
real_grdp_per_capita_2010,169,2019,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2019.json,e71a5ecadd2bab625a1b54f38d8c48b8b570baf05cbfa560be9b80473ba96fbf
real_grdp_per_capita_2010,169,2020,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2020.json,1b7a1c6d4e188ad6bb3daf9fff14765e12db9dd10de30e2b928784b768459347
real_grdp_per_capita_2010,169,2021,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2021.json,71045bff320de9be37accddd46195049f1f823c40f26dcf0babc79fd0b457621
real_grdp_per_capita_2010,169,2022,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2022.json,a63e112cb56a28f329b7719820cfdc3bd064255731e3ae41daa9f6408f559adf
real_grdp_per_capita_2010,169,2023,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2023.json,0cd8986306321352cf202673a1da0fa327f5705f1a4b4b61fd4fa7a91f608e8f
