regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2024,15.28,11.65,75.62,69.96,4.72,4.08,4.52,,,6.311,4.71,,2609.651163,2,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2025,15.29,11.66,76.06,70.32,4.41,3.78,3.51,,,6.348,,,2493.838174,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2018,14.24,10.46,,70.81,3.95,5.77,6.02,6.745686663780463,5.131978003880645,4.7,4.67,,2345.409702,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2019,14.25,10.72,,68.76,4.13,5.68,5.89,6.352015869007343,4.795824562224362,4.557,5.3,,1841.052960,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2020,14.26,10.73,74.08,68.68,6.68,5.65,-1.65,6.43908109557682,4.861100661530437,4.916,7.25,139576.0,2261.885902,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2021,14.27,10.81,74.18,71.73,6.47,6.16,3.58,6.080525730514813,5.029473053670243,5.002000000000001,8.24,,2362.419395,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2022,14.29,10.82,74.48,70.06,5.16,5.66,4.51,5.891649820162036,4.9208761383575785,5.4990000000000006,5.37,,3156.634559,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2023,14.3,10.88,74.77,71.86,4.84,5.44,4.7,5.7089383051753995,4.827668628280072,5.231000000000001,6.66,,2473.811290,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2024,14.57,10.89,75.08,70.53,4.87,5.19,4.53,,,4.757000000000001,6.33,,2616.639717,1,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1376,Payakumbuh,2025,14.79,11.08,75.54,71.93,4.96,4.95,3.55,,,4.884,,,2753.170935,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2018,14.52,10.36,,67.0,5.82,5.03,5.47,18.656749329266546,7.435893748408085,4.95,8.28,,4484.663075,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2019,14.53,10.37,,69.36,5.48,4.76,5.3,18.274258851347103,6.858928581367642,5.6450000000000005,7.97,,3462.772703,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2020,14.54,10.59,73.59,64.16,5.73,4.1,-1.32,18.37333188623724,6.886592407652497,4.905,13.36,94224.0,4428.394673,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2021,14.55,10.67,73.69,62.7,6.09,4.38,3.51,17.933393884154118,7.044711932763731,4.711,11.43,,4955.780563,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2022,14.61,10.78,73.98,67.76,5.19,4.13,4.53,17.73353415394979,6.973015207687256,5.1930000000000005,6.97,,5719.996265,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2023,14.79,10.79,74.2,71.23,5.68,4.2,4.79,17.665934755399277,6.889623594371733,4.894,8.81,,4147.905615,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2024,14.8,11.06,74.37,69.92,5.32,4.26,4.51,,,4.889,10.14,,5366.192630,1,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1377,Pariaman,2025,14.81,11.32,74.62,72.96,5.16,3.83,3.46,,,4.384,,,4572.056189,,
