regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2020,12.37,8.11,71.78,70.7,5.3,6.78,-1.1,27.817538823226187,2.5997204310949105,3.91,13.42,235045.0,2803.058049,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2021,12.38,8.12,71.93,70.06,3.57,6.8,3.14,27.452658766417443,2.729972179893606,3.6670000000000003,13.09,,3087.590832,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2022,12.64,8.3,72.27,68.17,4.87,6.0,3.93,26.796560541813847,2.7672547333598745,3.8450000000000006,12.67,,3743.084717,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2023,12.72,8.57,72.59,68.51,4.71,5.88,4.26,26.758171203446373,2.7390568543240774,3.6490000000000005,11.69,,2940.515772,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2024,12.76,8.62,72.89,70.18,4.73,5.78,3.89,,,3.8560000000000003,11.08,,3337.779082,5,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2025,12.99,8.66,73.3,75.33,4.59,5.15,3.26,,,4.082,,,3505.806505,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2018,13.88,8.44,,69.03,4.01,5.32,5.04,30.65923325469288,11.034725123179685,5.267,10.03,,2606.593248,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2019,14.32,8.45,,69.25,3.2,4.66,4.99,29.767500850037592,10.501265636145197,5.612,8.95,,2083.254792,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2020,14.33,8.61,73.5,69.42,4.79,4.4,-1.12,29.81973506063924,10.48459839991232,5.335000000000001,11.47,371704.0,2639.181013,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2021,14.34,8.62,73.69,66.88,4.63,4.54,3.27,28.57201215365915,10.722800932683391,5.639,7.86,,2757.306452,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2022,14.59,8.9,73.84,70.9,5.91,4.26,4.16,27.80409126688683,10.679119194641363,5.476,5.54,,3501.612179,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2023,14.78,9.02,74.19,69.43,5.35,4.16,4.44,27.612597582051805,10.46354766767561,5.461,8.47,,2729.635347,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2024,15.05,9.29,74.26,71.23,5.3,4.28,3.85,,,4.787,8.57,,3043.862868,3,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2025,15.06,9.46,74.35,72.84,5.26,3.59,2.66,,,5.152000000000001,,,3043.351854,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2018,13.57,7.5,,65.56,7.03,8.04,5.44,18.65020368150688,9.630323036678197,4.6049999999999995,8.55,,4146.259922,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2019,13.62,7.86,,63.23,6.08,7.1,2.4,19.20721902869654,9.350659137097344,4.804,9.59,,3142.963671,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2020,13.67,7.87,73.48,67.18,8.13,6.95,-10.46,22.67950715253003,11.193872224360769,4.6979999999999995,12.39,430626.0,4146.372331,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2021,13.68,7.88,73.58,64.64,8.41,7.22,2.15,22.65027521518682,11.948140352490096,4.537,11.73,,4501.844729,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2022,13.93,8.16,73.67,70.44,6.6,6.25,6.83,21.36830241238494,10.915552553863257,4.958,8.45,,5260.041094,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2023,14.19,8.41,73.77,65.18,6.69,6.34,5.46,20.55167862278303,10.480929445950178,4.914000000000001,9.38,,3949.497823,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2024,14.2,8.42,73.88,67.14,6.59,6.27,4.57,,,4.452000000000001,13.08,,4885.867178,3,3
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2025,14.21,8.78,74.04,67.36,6.48,5.86,1.74,,,4.762,,,4263.056625,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2018,13.85,8.69,,68.56,4.93,6.76,5.23,31.51608678371842,10.732570390916477,5.167000000000001,7.53,,3019.356902,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2019,13.86,8.85,,69.59,4.78,6.75,4.78,30.099095875319104,9.824293258652125,4.932,6.87,,2324.389282,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2020,13.87,8.96,73.79,70.29,4.61,6.75,-1.37,30.003156885541127,9.7262590597159,5.236000000000001,17.42,529138.0,2943.171289,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2021,13.88,8.97,73.91,66.49,5.06,6.85,3.7,29.52978260941534,9.895625534062138,5.140000000000001,10.92,,3054.359145,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2022,13.88,8.98,74.07,73.05,4.93,6.22,4.21,28.70470748014808,9.988907587775227,4.954000000000001,8.73,,3760.573590,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2023,13.89,9.22,74.22,69.16,4.96,6.6,4.52,28.20135748841308,10.234742782737223,4.873,11.25,,2907.477107,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2024,14.16,9.23,74.39,69.48,4.73,6.83,4.12,,,4.839,12.03,,3516.147981,4,2
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2025,14.26,9.57,74.63,69.56,4.71,5.97,2.99,,,4.782,,,2996.195772,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2018,13.27,7.97,,73.1,2.73,6.99,5.23,34.733158181799304,6.903595257400045,4.307,6.9,,2748.913529,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2019,13.28,7.98,,73.28,2.3,6.97,5.06,33.48502278582677,6.228895587799296,4.149,11.39,,2177.441026,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2020,13.29,7.99,72.74,72.71,3.03,6.86,-1.16,33.21615698373717,6.356544335336592,4.36,12.84,383525.0,2625.799332,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2021,13.3,8.07,72.79,71.33,2.25,7.29,3.33,32.18929673495152,6.492432745160368,4.399,10.23,,2740.063992,,
