geography_id,geography_name,year,event_time,real_grdp_constant_2000_million_rupiah,log_real_grdp,area_mean_pga_pct_g,z_area_mean_pga_pct_g,area_median_pga_pct_g,area_p90_pga_pct_g,area_max_pga_pct_g,area_mean_mmi,z_area_median_pga_pct_g,z_area_p90_pga_pct_g,z_area_max_pga_pct_g,z_area_mean_mmi,source_block,source_table,source_pdf_page,revision_status,source_internal_consistency_status,source_anomaly_resolution_status,source_anomaly_resolution_source
idn.13.1301,Kepulauan Mentawai,2005,-4,428727.81,12.968577521020904,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1301,Kepulauan Mentawai,2006,-3,446108.41,13.00831727321393,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1301,Kepulauan Mentawai,2007,-2,465786.51,13.051482675085566,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1301,Kepulauan Mentawai,2008,-1,486658.71,13.09531835556769,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,preperiod_table22,22,97,revised,preperiod_level_source_qualified,not_applicable,
idn.13.1301,Kepulauan Mentawai,2009,0,509396.33,13.140981636947163,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied,not_applicable,
idn.13.1301,Kepulauan Mentawai,2010,1,534232.32,13.188586079512607,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1301,Kepulauan Mentawai,2011,2,560536.49,13.236649621962247,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1301,Kepulauan Mentawai,2012,3,589971.58,13.28782964523019,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1301,Kepulauan Mentawai,2013,4,622479.09,13.341465316395386,16.721762721555173,-0.9661963049450587,18.79,25.142,30.28,6.3571755288736425,-0.7375410300013395,-0.7711062090745894,-0.6731051172554364,-0.995016387185816,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1302,Pesisir Selatan,2005,-4,1625743.4,14.301475746058388,15.037199999999999,-1.114490618780992,11.83,28.022000000000002,48.44,6.229378531073446,-1.3333954198805413,-0.5071437202689344,0.9689211105288967,-1.2181829538263511,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
