event_time,calendar_year,period_class,coefficient_log_points_per_1sd_pga,cr1_cluster_se,cr1_t,wild_cluster_bootstrap_p_value,wild_cluster_extreme_draw_count,wild_cluster_draw_count
-4,2005,pre_event,-0.013294672141391524,0.013052859185661465,-1.0185256695326714,0.464,927,1999
-3,2006,pre_event,-0.0017209094519789242,0.002732171338815051,-0.6298687888019815,0.495,989,1999
-2,2007,pre_event,-0.0009598610224034408,0.001326993910457339,-0.7233349112149516,0.442,883,1999
0,2009,partial_treatment_year,-0.0037002512335674352,0.0015502327184540054,-2.3869004888876106,0.103,205,1999
1,2010,full_post_event_year,-0.004997115740192616,0.0025508293039669446,-1.9590161256267944,0.1455,290,1999
2,2011,full_post_event_year,-0.00510864520700105,0.0034770691233759394,-1.4692388979719186,0.203,405,1999
3,2012,full_post_event_year,-0.004768365760008386,0.004237569677595221,-1.12525955271475,0.2945,588,1999
4,2013,full_post_event_year,-0.004329683022264108,0.004635771080814322,-0.9339725682708978,0.3625,724,1999
