geography_id,geography_name,year,event_time,real_grdp_constant_2000_million_rupiah,log_real_grdp,price_basis,unit,source_block,source_table,source_pdf_page,revision_status,source_internal_consistency_status
idn.13.1304,Sijunjung,2009,0,1271638.27,14.055816603508031,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1304,Sijunjung,2010,1,1343278.0,14.110623453339382,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1304,Sijunjung,2011,2,1420360.12,14.166421003058774,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1304,Sijunjung,2012,3,1506769.93,14.225478798402328,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1304,Sijunjung,2013,4,1599143.38,14.284978656338946,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1305,Tanah Datar,2005,-4,1961820.26,14.489383304309511,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1305,Tanah Datar,2006,-3,2076125.42,14.546013935701238,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1305,Tanah Datar,2007,-2,2201714.59,14.604746973876859,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1305,Tanah Datar,2008,-1,2331745.79,14.662127811076598,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1305,Tanah Datar,2009,0,2468737.03,14.719217253946882,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1305,Tanah Datar,2010,1,2614193.28,14.7764661107542,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
