regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events,real_grdp_per_capita,morbidity_rate,jkn_membership_coverage,internet_access_age5plus,adequate_sanitation_access,adequate_drinking_water_access,dependency_ratio
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2018,12.39,6.95,,75.0,2.31,14.44,4.89,47.604076021015686,2.68051558211673,2.6350000000000002,12.17,,3567.246432,,,31819.95,13.46,,14.95,42.97,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2019,12.76,7.08,,83.1,2.92,14.43,4.73,46.48392819005129,2.332014387973362,2.5170000000000003,12.63,,2362.541341,,,32359.78,15.21,34.61,16.98,51.29,51.99,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2020,12.82,7.09,70.73,81.65,3.98,14.35,-1.85,48.65025734182846,2.4245514381296247,2.471,20.72,87623.0,3626.960488,,,33832.43,16.52,51.34,20.88,61.73,35.83,46.96
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2021,12.89,7.2,70.73,82.57,2.79,14.84,2.87,48.86453587805786,2.5724800499397804,2.497,21.96,,3704.889656,,,34279.12,11.99,60.93,38.19,71.05,55.46,46.55
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2022,12.89,7.48,70.91,78.25,1.39,13.97,4.94,48.01767615464537,2.4811509929489297,2.298,21.67,,3782.009938,,,35424.6,12.51,61.07,37.42,69.09,63.21,46.06
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2023,12.9,7.76,71.06,80.07,1.33,13.72,4.04,48.4488181812154,2.4523604911612615,2.4730000000000003,19.5,,2625.301919,,,36314.72,16.67,53.53,43.58,72.28,68.34,45.61
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2024,12.91,8.03,71.21,83.47,1.44,13.89,3.97,,,2.6510000000000002,16.56,,4202.103285,2,0,37214.76,13.71,57.48,49.6,75.64,70.23,45.16
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2025,13.17,8.21,71.4,82.33,1.53,13.22,2.93,,,2.837,,,3677.797185,,,,,61.96,54.01,79.06,76.12,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2018,13.3,8.14,,66.63,6.03,7.59,5.32,39.280322117564594,7.730488482316655,5.027000000000001,14.1,,2806.760469,,,19838.63,17.71,,27.86,61.53,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2019,13.31,8.25,,68.82,6.02,7.88,4.78,38.2706498609524,6.399948036096436,5.106000000000001,11.21,,2378.287854,,,20545.67,16.85,23.43,30.8,66.93,80.16,
