Jenis Bencana,Jumlah Kejadian
Banjir,253
Cuaca ekstrem,587
Erupsi Gunung Api,9
Gelombang Pasang dan abrasi,14
Kebakaran Hutan dan Lahan,25
Kekeringan,2
Tanah Longsor,285
Total,1175
