year,quarter,quarter_number,dataset_title,dataset_identifier,dataset_detail_url,listing_pages,release_date,modified_date,public_access_level,update_frequency,collection_frequency,collection_method,resource_name,resource_format,resource_transport_locator_count,resource_transport_locators,declared_expected_variable_count,declared_expected_variables,declared_expected_schema_complete,promotion_state,resource_file_downloaded,target_investment_values_inspected,investment_value_aggregation_performed
2012,III,3,Data Realisasi Investasi Triwulan III Tahun 2012,Data-realisasi-investasi-triwulan-iii-tahun-2012-e7Yu1Li,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2012-e7Yu1Li,11,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2012,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2012,Data-realisasi-investasi-triwulan-iv-tahun-2012-yg0KpKS,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2012-yg0KpKS,11,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2013,I,1,Data Realisasi Investasi Triwulan I Tahun 2013,Data-realisasi-investasi-triwulan-i-tahun-2013-aZedHow,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2013-aZedHow,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2013,II,2,Data Realisasi Investasi Triwulan II Tahun 2013,Data-realisasi-investasi-triwulan-ii-tahun-2013-DJF0bWL,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2013-DJF0bWL,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2013,III,3,Data Realisasi Investasi Triwulan III Tahun 2013,Data-realisasi-investasi-triwulan-iii-tahun-2013-RCKorNx,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2013-RCKorNx,10,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2013,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2013,Data-realisasi-investasi-triwulan-iv-tahun-2013-7gIf8tt,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2013-7gIf8tt,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2014,I,1,Data Realisasi Investasi Triwulan I Tahun 2014,Data-realisasi-investasi-triwulan-i-tahun-2014-8TD5MiR,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2014-8TD5MiR,10,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2014,II,2,Data Realisasi Investasi Triwulan II Tahun 2014,Data-realisasi-investasi-triwulan-ii-tahun-2014-nOXDyc9,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2014-nOXDyc9,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2014,III,3,Data Realisasi Investasi Triwulan III Tahun 2014,Data-realisasi-investasi-triwulan-iii-tahun-2014-hc9iIYD,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2014-hc9iIYD,10,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2014,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2014,Data-realisasi-investasi-triwulan-iv-tahun-2014-aiH3N07,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2014-aiH3N07,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2015,I,1,Data Realisasi Investasi Triwulan I Tahun 2015,Data-realisasi-investasi-triwulan-i-tahun-2015-Q1DkhJz,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2015-Q1DkhJz,10,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2015,II,2,Data Realisasi Investasi Triwulan II Tahun 2015,Data-realisasi-investasi-triwulan-ii-tahun-2015-btjb2ta,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2015-btjb2ta,9,29 November 2024,25 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2015,III,3,Data Realisasi Investasi Triwulan III Tahun 2015,Data-realisasi-investasi-triwulan-iii-tahun-2015-Xe6Djkq,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2015-Xe6Djkq,9,29 November 2024,25 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2015,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2015,Data-realisasi-investasi-triwulan-iv-tahun-2015-sonjzmO,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2015-sonjzmO,9,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2016,I,1,Data Realisasi Investasi Triwulan I Tahun 2016,Data-realisasi-investasi-triwulan-i-tahun-2016-iGR4Qiq,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2016-iGR4Qiq,9,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
