year,quarter,geography_id,canonical_name,status_penanaman_modal,observed_source_row_count,investasi_rp_juta_complete,investasi_rp_juta_missing_rows,investasi_rp_juta_sum,investasi_us_ribu_complete,investasi_us_ribu_missing_rows,investasi_us_ribu_sum,raw_evidence_path,raw_evidence_sha256
2025,II,idn.13.1312,Pasaman Barat,PMA,8,true,0,7650.816778,true,0,478.1760486,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1312,Pasaman Barat,PMDN,16,true,0,40785.22357,true,0,2488.134346011,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1371,Padang,PMA,78,true,0,120238.378812,true,0,7514.898675928,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1371,Padang,PMDN,66,true,0,547399.944116,true,0,29678.728395789,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1372,Solok,PMDN,10,true,0,20530.023761,true,0,1080.454359693,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1373,Sawahlunto,PMA,1,true,0,5,true,0,0.3125,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1373,Sawahlunto,PMDN,27,true,0,62131.763483,true,0,3867.484660698,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1374,Padang Panjang,PMDN,13,true,0,8997.706262,true,0,196.716267141,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1375,Bukittinggi,PMA,4,true,0,11.33704,true,0,0.708565,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1375,Bukittinggi,PMDN,17,true,0,10707.849691,true,0,574.95998065,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
