dimension_tuple_sha256,multiplicity,page_count,page_paths,distinct_full_row_hash_count,full_row_hashes,exact_full_row_duplicate,crosses_page_boundary,differing_non_dimension_fields
b7ebba8813c7ee0b251307ea9d94925f0b5fd27aae7add37322c7c7b6d199d51,5,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,3,abdb22495e4a59205bfc623247099ea1fc45cbca06a3b47750d7d108bb1a466b|b5dc8a999b27321b941d5119268c5fc1a69f1311989a90d0005bcc08fbeda22e|dc0fb0b56a3141e9687994afa93818f72cabf42e14cc00f9bad3fc15e9b8964e,false,false,investasi_rp_juta|investasi_us_ribu
ba564fe52f989032874a8bc6f3e0b31be7511b6d8296726dc521b9459cce3b5b,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,87c8db9101b2b21ef239119d0c518553d0e0cc46394439478c4e95ba7417f6c3,true,false,
bb7aeffc603f046cfff684deb0a78b89004a8fa809d163cba534b41a27eb88c9,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,3991c7c2914029ffaef4ccc12c2025a3b70198a4687629652664978ef83a9da2,true,false,
bbc7c19d85841627d8c2b839c7b05d258bd9e61789a55e7784eef067d4934359,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,a5d9423fc4932c97691b19eb42dadaf405af89ad35e03ecbd5aa0f1e8832e48d,true,false,
bbce4a75ff72c11e55aa40e233784c82423327be28edc4e55475a46bb8da70bd,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,5e51291a3654c4e25c7c91d79fd483c9ea092d2c1f535448a234d3978db212e6|d522d4976435bff0cebcae67efe263180e4b2ce664dfb1ea4b76898d4e56e936,false,false,investasi_rp_juta|investasi_us_ribu
bd259af50ae63d9fc693868dafd54d56d2e0677a4ca88506bf7625173c2e5534,8,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,6,6de86f27847bd240135e72b6a84d244c7e141d61466fd8f10ebe13bc41ec046a|8c0fbc543ee2b155a95e9de19c64fdaeb64f2ade19def80efd26ac6e35facff0|8fa07289d9f23e534abd09d79038c90d80c7ba0a62863a2dc1c742d669ba88e1|9da8dca9adf6dce6e0c35712ba7a37c28c30d5053f50976d4aec33550096d7f9|d546c115e3bafa6e325d49fff03f6481067d30502f762b42dc310bb993335774|d7bc4295672ae8ebbe158f8c384d0c2ff3ee253527dcf098d4d561ee3e055196,false,true,investasi_rp_juta|investasi_us_ribu|tki
bd74709d9203d0c71fe80eb1e7b715b7ea1dffd6941506d2c7b8a532fab0d994,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,5e6708cc7b5b58c85ea1e3d4d5017dc1eb7feb72e0ee4fbb77b8efd1458d311f,true,false,
bfae8c46d9e5ef2a57b419f1e67048bcbdcf8d78f9776acc2baeeb3913ee5035,3,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,3,49f52f11a0c372eb9f83f4c0f89d0f491ef8427a45b1d521f3ab09e7d3962bad|768da135322eab6cc54358c77a030301091edd4eaab4b47b7e551c554f19a577|ab0c6900c71803101b566012ebabefba77c7e3885f28e7dc59c8ddca0b477ced,false,true,investasi_rp_juta|investasi_us_ribu|tki
c066aab3537a9ce623be42c92317357935024e96cf4e15489243a26ade15e888,3,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,3,5eef090b7bf83ab17fd0c2243448dc7078a97ed121e5c1006fa7ac522a6f6846|b0ee86c774bf8bc78537aa6062ee6c103fe15b2887a57bc9fe1842c0a711e2ac|b1a4e9c2481e4ce595bfdfea9c2e1287ed2bd6aad8dfcc169c89de92f53341f2,false,true,investasi_rp_juta|investasi_us_ribu|tki
c4e0fab4d49c0c8db981d726ccb36426ddff297228a2e18c82bdcabda84a3b2d,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,9e6b4fbae2953856171909fc92e703001ef26994f43cd8ea15cb555b655e6edf|fae6d620bfc56ab5e9c58a956e123db8018b3b87942466d21ce3fe559e3bd02d,false,false,investasi_rp_juta|investasi_us_ribu|tki
