source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_vertical_dimension,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,value,source_key
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1700,BENGKULU,191,Perkotaan+Perdesaan,124,2024,0,Tahun,90.62,17003981911240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1800,LAMPUNG,189,Perkotaan,124,2024,0,Tahun,93.84,18003981891240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1800,LAMPUNG,190,Perdesaan,124,2024,0,Tahun,90.45,18003981901240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1800,LAMPUNG,191,Perkotaan+Perdesaan,124,2024,0,Tahun,91.57,18003981911240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1900,KEP. BANGKA BELITUNG,189,Perkotaan,124,2024,0,Tahun,93.09,19003981891240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1900,KEP. BANGKA BELITUNG,190,Perdesaan,124,2024,0,Tahun,90.77,19003981901240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,1900,KEP. BANGKA BELITUNG,191,Perkotaan+Perdesaan,124,2024,0,Tahun,92.14,19003981911240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,2100,KEP. RIAU,189,Perkotaan,124,2024,0,Tahun,98.68,21003981891240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,2100,KEP. RIAU,190,Perdesaan,124,2024,0,Tahun,87.65,21003981901240
bps_webapi,0000,2026-08-17T15:25:46+00:00,2025-10-14 15:57:09,398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,2,,"<p><br /></p><p>Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br /></p><p><br /></p><p>Catatan: <br /></p><p><br /></p><p>- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan<br /></p><p><br /></p><p>- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan<br /></p><p><br /></p><p>- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan <br /></p><p><br /></p><p><br /></p><p><br /></p>",Komunikasi,38 Provinsi,2100,KEP. RIAU,191,Perkotaan+Perdesaan,124,2024,0,Tahun,97.57,21003981911240
