disaster_metric,excluded_geography_id,excluded_geography_name,remaining_geography_count,spearman,pearson
flood_events,idn.13.1301,Kepulauan Mentawai,18,-0.19180456118777522,-0.24517915893363565
flood_events,idn.13.1302,Pesisir Selatan,18,-0.04677948100223909,-0.1168175846164959
flood_events,idn.13.1303,Solok,18,-0.20664027310285177,-0.2669830551646421
flood_events,idn.13.1304,Sijunjung,18,-0.23070789494286095,-0.26261776594099073
flood_events,idn.13.1305,Tanah Datar,18,-0.17107670998110944,-0.2667554263030917
flood_events,idn.13.1306,Padang Pariaman,18,-0.21889318171495992,-0.2650918112602295
flood_events,idn.13.1307,Agam,18,-0.2681025081795974,-0.2976155334693328
flood_events,idn.13.1308,Lima Puluh Kota,18,-0.12716324498637033,-0.2599788465292841
flood_events,idn.13.1309,Pasaman,18,-0.197103029728874,-0.2704272990557917
flood_events,idn.13.1310,Solok Selatan,18,-0.10808875823841477,-0.26885689930342654
flood_events,idn.13.1311,Dharmasraya,18,-0.04677948100223909,-0.19701494423443047
flood_events,idn.13.1312,Pasaman Barat,18,-0.2797591389700147,-0.324336513350739
flood_events,idn.13.1371,Padang,18,-0.2066903471672382,-0.2795506686019814
flood_events,idn.13.1372,Solok,18,-0.16029047331336838,-0.2617839534917691
flood_events,idn.13.1373,Sawahlunto,18,-0.22250848598105744,-0.28482041456179563
flood_events,idn.13.1374,Padang Panjang,18,-0.19719946387894663,-0.2768943380371954
flood_events,idn.13.1375,Bukittinggi,18,-0.19498364231243448,-0.28119346513638893
flood_events,idn.13.1376,Payakumbuh,18,-0.2541447636086959,-0.31532247803011537
flood_events,idn.13.1377,Pariaman,18,-0.14447233449954913,-0.22165511093563023
landslide_events,idn.13.1301,Kepulauan Mentawai,18,0.3027003027798435,0.33495293289786077
landslide_events,idn.13.1302,Pesisir Selatan,18,0.18476511987860575,0.24126825061960352
landslide_events,idn.13.1303,Solok,18,0.19998551538083598,0.293973500167439
landslide_events,idn.13.1304,Sijunjung,18,0.25028466593484894,0.2635344165934924
landslide_events,idn.13.1305,Tanah Datar,18,0.2083521564588533,0.25519846999809365
landslide_events,idn.13.1306,Padang Pariaman,18,0.13798273776602182,0.1416797263378364
landslide_events,idn.13.1307,Agam,18,0.12765032896649103,0.1558318163469153
landslide_events,idn.13.1308,Lima Puluh Kota,18,0.3063607895195785,0.33009728224287505
landslide_events,idn.13.1309,Pasaman,18,0.2266976293546014,0.25917187083310605
landslide_events,idn.13.1310,Solok Selatan,18,0.18476511987860575,0.2317365716114743
landslide_events,idn.13.1311,Dharmasraya,18,0.18476511987860575,0.2405826960481587
landslide_events,idn.13.1312,Pasaman Barat,18,0.3027003027798435,0.37501458716252045
landslide_events,idn.13.1371,Padang,18,0.24324791915453334,0.27456096207583724
landslide_events,idn.13.1372,Solok,18,0.25028466593484894,0.2705318468612872
landslide_events,idn.13.1373,Sawahlunto,18,0.2083521564588533,0.25473447339216665
landslide_events,idn.13.1374,Padang Panjang,18,0.2266976293546014,0.25938503551727315
landslide_events,idn.13.1375,Bukittinggi,18,0.18476511987860575,0.24996653181351944
landslide_events,idn.13.1376,Payakumbuh,18,0.18476511987860575,0.2420888871731623
landslide_events,idn.13.1377,Pariaman,18,0.2791132661995959,0.3302221016608092
hydroclimate_event_count,idn.13.1301,Kepulauan Mentawai,18,-0.1269853693068825,-0.14650427013263798
hydroclimate_event_count,idn.13.1302,Pesisir Selatan,18,-0.009475579515979013,0.008463363046973092
hydroclimate_event_count,idn.13.1303,Solok,18,-0.17764434129424303,-0.18296625515728376
hydroclimate_event_count,idn.13.1304,Sijunjung,18,-0.1831945373089276,-0.1820769758757065
hydroclimate_event_count,idn.13.1305,Tanah Datar,18,-0.14950358791878,-0.18996504544788514
hydroclimate_event_count,idn.13.1306,Padang Pariaman,18,-0.21233228959430234,-0.230418985552222
hydroclimate_event_count,idn.13.1307,Agam,18,-0.23861103830646846,-0.2527669806405096
hydroclimate_event_count,idn.13.1308,Lima Puluh Kota,18,-0.07778509618801174,-0.16957617178434398
hydroclimate_event_count,idn.13.1309,Pasaman,18,-0.15637041344401234,-0.19259740243319817
hydroclimate_event_count,idn.13.1310,Solok Selatan,18,-0.1282402937153707,-0.19800206047676913
hydroclimate_event_count,idn.13.1311,Dharmasraya,18,-0.009475579515979013,-0.11961152617047782
hydroclimate_event_count,idn.13.1312,Pasaman Barat,18,-0.20392309000640918,-0.21226042183647448
hydroclimate_event_count,idn.13.1371,Padang,18,-0.15637041344401234,-0.1943826368499695
hydroclimate_event_count,idn.13.1372,Solok,18,-0.11624285782974782,-0.18058535050815455
hydroclimate_event_count,idn.13.1373,Sawahlunto,18,-0.18640746570896496,-0.2077499268454418
hydroclimate_event_count,idn.13.1374,Padang Panjang,18,-0.15603771005975156,-0.19862689825238358
hydroclimate_event_count,idn.13.1375,Bukittinggi,18,-0.16896400378849658,-0.20575453897795312
hydroclimate_event_count,idn.13.1376,Payakumbuh,18,-0.22096615317186297,-0.2413634387178911
hydroclimate_event_count,idn.13.1377,Pariaman,18,-0.09006203399421903,-0.12410757240486878
