geography_id,geography_name,bps_province_code,year,feature_id,feature_group,value,unit,bps_var_id,bps_turvar_id,bps_turth_id,source_key
idn.32,Jawa Barat,32,2024,m7_rls_age15_plus,human_capital_schooling,9.24,years,1429,0,0,3200142901240
idn.33,Jawa Tengah,33,2024,m7_hls_method_new,human_capital_expected_schooling,12.86,years,417,0,0,330041701240
idn.33,Jawa Tengah,33,2024,m7_household_internet_access,digital_connectivity,88.89,percent_households,398,191,0,33003981911240
idn.33,Jawa Tengah,33,2024,m7_household_pln_lighting,electricity_access,99.94,percent_households,856,191,0,33008561911240
idn.33,Jawa Tengah,33,2024,m7_rls_age15_plus,human_capital_schooling,8.47,years,1429,0,0,3300142901240
idn.34,DI Yogyakarta,34,2024,m7_hls_method_new,human_capital_expected_schooling,15.7,years,417,0,0,340041701240
idn.34,DI Yogyakarta,34,2024,m7_household_internet_access,digital_connectivity,89.5,percent_households,398,191,0,34003981911240
idn.34,DI Yogyakarta,34,2024,m7_household_pln_lighting,electricity_access,100,percent_households,856,191,0,34008561911240
idn.34,DI Yogyakarta,34,2024,m7_rls_age15_plus,human_capital_schooling,10.23,years,1429,0,0,3400142901240
idn.35,Jawa Timur,35,2024,m7_hls_method_new,human_capital_expected_schooling,13.43,years,417,0,0,350041701240
idn.35,Jawa Timur,35,2024,m7_household_internet_access,digital_connectivity,86.9,percent_households,398,191,0,35003981911240
idn.35,Jawa Timur,35,2024,m7_household_pln_lighting,electricity_access,99.71,percent_households,856,191,0,35008561911240
idn.35,Jawa Timur,35,2024,m7_rls_age15_plus,human_capital_schooling,8.69,years,1429,0,0,3500142901240
idn.36,Banten,36,2024,m7_hls_method_new,human_capital_expected_schooling,13.1,years,417,0,0,360041701240
idn.36,Banten,36,2024,m7_household_internet_access,digital_connectivity,93.02,percent_households,398,191,0,36003981911240
idn.36,Banten,36,2024,m7_household_pln_lighting,electricity_access,99.79,percent_households,856,191,0,36008561911240
idn.36,Banten,36,2024,m7_rls_age15_plus,human_capital_schooling,9.55,years,1429,0,0,3600142901240
idn.51,Bali,51,2024,m7_hls_method_new,human_capital_expected_schooling,13.62,years,417,0,0,510041701240
idn.51,Bali,51,2024,m7_household_internet_access,digital_connectivity,92.16,percent_households,398,191,0,51003981911240
idn.51,Bali,51,2024,m7_household_pln_lighting,electricity_access,99.9,percent_households,856,191,0,51008561911240
idn.51,Bali,51,2024,m7_rls_age15_plus,human_capital_schooling,9.87,years,1429,0,0,5100142901240
idn.52,Nusa Tenggara Barat,52,2024,m7_hls_method_new,human_capital_expected_schooling,13.98,years,417,0,0,520041701240
idn.52,Nusa Tenggara Barat,52,2024,m7_household_internet_access,digital_connectivity,86.54,percent_households,398,191,0,52003981911240
idn.52,Nusa Tenggara Barat,52,2024,m7_household_pln_lighting,electricity_access,99.89,percent_households,856,191,0,52008561911240
idn.52,Nusa Tenggara Barat,52,2024,m7_rls_age15_plus,human_capital_schooling,8.5,years,1429,0,0,5200142901240
idn.53,Nusa Tenggara Timur,53,2024,m7_hls_method_new,human_capital_expected_schooling,13.23,years,417,0,0,530041701240
idn.53,Nusa Tenggara Timur,53,2024,m7_household_internet_access,digital_connectivity,82.45,percent_households,398,191,0,53003981911240
idn.53,Nusa Tenggara Timur,53,2024,m7_household_pln_lighting,electricity_access,91.01,percent_households,856,191,0,53008561911240
idn.53,Nusa Tenggara Timur,53,2024,m7_rls_age15_plus,human_capital_schooling,8.48,years,1429,0,0,5300142901240
idn.61,Kalimantan Barat,61,2024,m7_hls_method_new,human_capital_expected_schooling,12.68,years,417,0,0,610041701240
idn.61,Kalimantan Barat,61,2024,m7_household_internet_access,digital_connectivity,92.65,percent_households,398,191,0,61003981911240
idn.61,Kalimantan Barat,61,2024,m7_household_pln_lighting,electricity_access,92.95,percent_households,856,191,0,61008561911240
idn.61,Kalimantan Barat,61,2024,m7_rls_age15_plus,human_capital_schooling,8.28,years,1429,0,0,6100142901240
idn.62,Kalimantan Tengah,62,2024,m7_hls_method_new,human_capital_expected_schooling,12.77,years,417,0,0,620041701240
idn.62,Kalimantan Tengah,62,2024,m7_household_internet_access,digital_connectivity,92.13,percent_households,398,191,0,62003981911240
idn.62,Kalimantan Tengah,62,2024,m7_household_pln_lighting,electricity_access,89.04,percent_households,856,191,0,62008561911240
idn.62,Kalimantan Tengah,62,2024,m7_rls_age15_plus,human_capital_schooling,9.17,years,1429,0,0,6200142901240
idn.63,Kalimantan Selatan,63,2024,m7_hls_method_new,human_capital_expected_schooling,12.87,years,417,0,0,630041701240
idn.63,Kalimantan Selatan,63,2024,m7_household_internet_access,digital_connectivity,89.22,percent_households,398,191,0,63003981911240
idn.63,Kalimantan Selatan,63,2024,m7_household_pln_lighting,electricity_access,98.89,percent_households,856,191,0,63008561911240
idn.63,Kalimantan Selatan,63,2024,m7_rls_age15_plus,human_capital_schooling,9.02,years,1429,0,0,6300142901240
idn.64,Kalimantan Timur,64,2024,m7_hls_method_new,human_capital_expected_schooling,14.03,years,417,0,0,640041701240
idn.64,Kalimantan Timur,64,2024,m7_household_internet_access,digital_connectivity,95.45,percent_households,398,191,0,64003981911240
idn.64,Kalimantan Timur,64,2024,m7_household_pln_lighting,electricity_access,96.5,percent_households,856,191,0,64008561911240
idn.64,Kalimantan Timur,64,2024,m7_rls_age15_plus,human_capital_schooling,10.22,years,1429,0,0,6400142901240
idn.65,Kalimantan Utara,65,2024,m7_hls_method_new,human_capital_expected_schooling,13.21,years,417,0,0,650041701240
idn.65,Kalimantan Utara,65,2024,m7_household_internet_access,digital_connectivity,94.58,percent_households,398,191,0,65003981911240
idn.65,Kalimantan Utara,65,2024,m7_household_pln_lighting,electricity_access,96.18,percent_households,856,191,0,65008561911240
idn.65,Kalimantan Utara,65,2024,m7_rls_age15_plus,human_capital_schooling,9.58,years,1429,0,0,6500142901240
idn.71,Sulawesi Utara,71,2024,m7_hls_method_new,human_capital_expected_schooling,12.97,years,417,0,0,710041701240
idn.71,Sulawesi Utara,71,2024,m7_household_internet_access,digital_connectivity,89.31,percent_households,398,191,0,71003981911240
idn.71,Sulawesi Utara,71,2024,m7_household_pln_lighting,electricity_access,99.67,percent_households,856,191,0,71008561911240
idn.71,Sulawesi Utara,71,2024,m7_rls_age15_plus,human_capital_schooling,10.02,years,1429,0,0,7100142901240
idn.72,Sulawesi Tengah,72,2024,m7_hls_method_new,human_capital_expected_schooling,13.34,years,417,0,0,720041701240
idn.72,Sulawesi Tengah,72,2024,m7_household_internet_access,digital_connectivity,87.94,percent_households,398,191,0,72003981911240
idn.72,Sulawesi Tengah,72,2024,m7_household_pln_lighting,electricity_access,96.6,percent_households,856,191,0,72008561911240
idn.72,Sulawesi Tengah,72,2024,m7_rls_age15_plus,human_capital_schooling,9.28,years,1429,0,0,7200142901240
idn.73,Sulawesi Selatan,73,2024,m7_hls_method_new,human_capital_expected_schooling,13.55,years,417,0,0,730041701240
idn.73,Sulawesi Selatan,73,2024,m7_household_internet_access,digital_connectivity,92.18,percent_households,398,191,0,73003981911240
idn.73,Sulawesi Selatan,73,2024,m7_household_pln_lighting,electricity_access,98.23,percent_households,856,191,0,73008561911240
idn.73,Sulawesi Selatan,73,2024,m7_rls_age15_plus,human_capital_schooling,9.22,years,1429,0,0,7300142901240
idn.74,Sulawesi Tenggara,74,2024,m7_hls_method_new,human_capital_expected_schooling,13.71,years,417,0,0,740041701240
idn.74,Sulawesi Tenggara,74,2024,m7_household_internet_access,digital_connectivity,91.7,percent_households,398,191,0,74003981911240
idn.74,Sulawesi Tenggara,74,2024,m7_household_pln_lighting,electricity_access,97.83,percent_households,856,191,0,74008561911240
idn.74,Sulawesi Tenggara,74,2024,m7_rls_age15_plus,human_capital_schooling,9.74,years,1429,0,0,7400142901240
idn.75,Gorontalo,75,2024,m7_hls_method_new,human_capital_expected_schooling,13.17,years,417,0,0,750041701240
idn.75,Gorontalo,75,2024,m7_household_internet_access,digital_connectivity,90.17,percent_households,398,191,0,75003981911240
idn.75,Gorontalo,75,2024,m7_household_pln_lighting,electricity_access,98.99,percent_households,856,191,0,75008561911240
idn.75,Gorontalo,75,2024,m7_rls_age15_plus,human_capital_schooling,8.64,years,1429,0,0,7500142901240
idn.76,Sulawesi Barat,76,2024,m7_hls_method_new,human_capital_expected_schooling,12.89,years,417,0,0,760041701240
idn.76,Sulawesi Barat,76,2024,m7_household_internet_access,digital_connectivity,89.67,percent_households,398,191,0,76003981911240
idn.76,Sulawesi Barat,76,2024,m7_household_pln_lighting,electricity_access,94.99,percent_households,856,191,0,76008561911240
idn.76,Sulawesi Barat,76,2024,m7_rls_age15_plus,human_capital_schooling,8.56,years,1429,0,0,7600142901240
idn.81,Maluku,81,2024,m7_hls_method_new,human_capital_expected_schooling,14.09,years,417,0,0,810041701240
idn.81,Maluku,81,2024,m7_household_internet_access,digital_connectivity,87.27,percent_households,398,191,0,81003981911240
idn.81,Maluku,81,2024,m7_household_pln_lighting,electricity_access,95.37,percent_households,856,191,0,81008561911240
idn.81,Maluku,81,2024,m7_rls_age15_plus,human_capital_schooling,10.44,years,1429,0,0,8100142901240
