Jenis Bencana,Meninggal,Hilang,Luka/Sakit,Menderita,Mengungsi
Banjir,57,10,25,813,79016
Cuaca ekstrem,3,0,12,16,22
Erupsi Gunung Api,34,10,3,0,919
Gelombang Pasang dan abrasi,0,0,0,90,0
Kebakaran Hutan dan Lahan,0,0,0,0,0
Kekeringan,0,0,0,0,0
Tanah Longsor,20,0,33,6,173
,114,20,73,925,80130
