observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bnpbobs_91772b69ec7f9c5f25633b66,landslide_events,idn.13.1311,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1310:DHARMASRAYA; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_9581a16b37699a75d0006179,landslide_events,idn.13.1371,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1371:KOTA PADANG; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_95b86c18bc4282b0104ec682,landslide_events,idn.13.1306,2024-01-01,2024-12-31,annual,3,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1305:PADANG PARIAMAN; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_98cd1787e260784851f8b7ae,flood_events,idn.13.1310,2024-01-01,2024-12-31,annual,4,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1311:SOLOK SELATAN; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_9ae7dd9fb8f18b477f75e252,flood_events,idn.13.1308,2024-01-01,2024-12-31,annual,4,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1307:LIMA PULUH KOTA; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_a17f51d3c1ceaa3043421f06,flood_events,idn.13.1371,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1371:KOTA PADANG; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_a9f23de1e9923b381c9dd98a,flood_events,idn.13.1302,2024-01-01,2024-12-31,annual,15,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1301:PESISIR SELATAN; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_b2ceaa7db19369ea9ca2e6fb,flood_events,idn.13.1312,2024-01-01,2024-12-31,annual,4,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1312:PASAMAN BARAT; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_c2f75dce7d427b3599465562,landslide_events,idn.13.1303,2024-01-01,2024-12-31,annual,2,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1302:SOLOK; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_c777904db93e809bc9e78898,landslide_events,idn.13.1377,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1377:KOTA PARIAMAN; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_c7cbc79f2fead903bdad45fe,flood_events,idn.13.1373,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1373:KOTA SAWAHLUNTO; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_cb4e548770cc8bd9df43d2f8,flood_events,idn.13.1307,2024-01-01,2024-12-31,annual,4,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1306:AGAM; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_d0d3bb476b5a68d8b86c36c7,flood_events,idn.13.1303,2024-01-01,2024-12-31,annual,2,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1302:SOLOK; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_d14b6a836805cd5dabf6e801,landslide_events,idn.13.1307,2024-01-01,2024-12-31,annual,2,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1306:AGAM; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_d879a1f8d745f229a7f2c28f,flood_events,idn.13.1305,2024-01-01,2024-12-31,annual,3,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1304:TANAH DATAR; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_e0191074582fc94f0b198936,landslide_events,idn.13.1302,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1301:PESISIR SELATAN; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_e4619248fcc78fc6cd1d6a63,flood_events,idn.13.1301,2024-01-01,2024-12-31,annual,2,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1309:KEPULAUAN MENTAWAI; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
