panel_observation_id,indicator_id,geography_id,geography_name,bps_province_code,year,reference_period,value_numeric,unit,claim_type,source_series_id,panel_provenance_id,comparability_regime,methodology_version,price_basis,notes
m5obs_443f42b320e05c220213ba79,gini_ratio,idn.13,Sumatera Barat,13,2024,Maret,0.283,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_c2b62d5cbcf0d32068be52ac,neet_rate,idn.13,Sumatera Barat,13,2024,source_annual_period,21.31,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_c77ff79025174fbb105c229e,poverty_rate,idn.13,Sumatera Barat,13,2024,Maret,5.97,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_aa53abb3b3206612809a88d6,real_grdp_per_capita,idn.13,Sumatera Barat,13,2024,Tahun,34.16975,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_e17ca90b79f516c6098994bc,underemployment_rate,idn.13,Sumatera Barat,13,2024,source_annual_period,11.11,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_317cc0bf799eac1a25ad0a36,unemployment_rate,idn.13,Sumatera Barat,13,2024,Agustus,5.75,percent,observed,m5_unemployment_august,m5prov_577c6c6aac737a31ac29f70b,bps_current_38_province_2024plus,sakernas_unemployment_august_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:190:Agustus; source universe=Labor force under the official Sakernas open-unemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_050e59a4ea26b7da37ec4376,gini_ratio,idn.14,Riau,14,2024,Maret,0.307,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_c552ff136d6bd61921b87412,neet_rate,idn.14,Riau,14,2024,source_annual_period,21.79,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_5363e478cd88ade1a7289ea2,poverty_rate,idn.14,Riau,14,2024,Maret,6.67,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_4a662e20941fd2895d57b912,real_grdp_per_capita,idn.14,Riau,14,2024,Tahun,84.90325,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_4f03b7224ef075fd6e486bf7,underemployment_rate,idn.14,Riau,14,2024,source_annual_period,9.12,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_f7ad46005122ef4226631a63,unemployment_rate,idn.14,Riau,14,2024,Agustus,3.7,percent,observed,m5_unemployment_august,m5prov_577c6c6aac737a31ac29f70b,bps_current_38_province_2024plus,sakernas_unemployment_august_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:190:Agustus; source universe=Labor force under the official Sakernas open-unemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
