target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
poverty_rate,idn.13.1306,primary,100,standardized_continuous_feature,rice_yield,-0.507181995674
poverty_rate,idn.13.1306,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1306,primary,100,target_year_effect,2020,-0.171914466647
poverty_rate,idn.13.1306,primary,100,target_year_effect,2021,0.114576255061
poverty_rate,idn.13.1306,primary,100,target_year_effect,2022,-0.258902374758
poverty_rate,idn.13.1306,primary,100,target_year_effect,2023,-0.207976732995
poverty_rate,idn.13.1306,primary,100,target_year_effect,2024,-0.293831378495
poverty_rate,idn.13.1307,primary,100,intercept,intercept_base_2019,6.24930248921
poverty_rate,idn.13.1307,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.495278652958
poverty_rate,idn.13.1307,primary,100,standardized_continuous_feature,labor_force_participation,0.338452026981
poverty_rate,idn.13.1307,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.23332737536
poverty_rate,idn.13.1307,primary,100,standardized_continuous_feature,mean_years_schooling,-0.349122958751
poverty_rate,idn.13.1307,primary,100,standardized_continuous_feature,rice_yield,-0.522138170611
poverty_rate,idn.13.1307,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1307,primary,100,target_year_effect,2020,-0.141225958369
poverty_rate,idn.13.1307,primary,100,target_year_effect,2021,0.134003656698
poverty_rate,idn.13.1307,primary,100,target_year_effect,2022,-0.271309001049
poverty_rate,idn.13.1307,primary,100,target_year_effect,2023,-0.198070077396
poverty_rate,idn.13.1307,primary,100,target_year_effect,2024,-0.289213555152
poverty_rate,idn.13.1308,primary,100,intercept,intercept_base_2019,6.24541292896
poverty_rate,idn.13.1308,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.501837624072
poverty_rate,idn.13.1308,primary,100,standardized_continuous_feature,labor_force_participation,0.347630375556
poverty_rate,idn.13.1308,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.214459337874
poverty_rate,idn.13.1308,primary,100,standardized_continuous_feature,mean_years_schooling,-0.355994158709
poverty_rate,idn.13.1308,primary,100,standardized_continuous_feature,rice_yield,-0.517793368898
poverty_rate,idn.13.1308,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1308,primary,100,target_year_effect,2020,-0.134140144227
poverty_rate,idn.13.1308,primary,100,target_year_effect,2021,0.116749026445
poverty_rate,idn.13.1308,primary,100,target_year_effect,2022,-0.277087864328
poverty_rate,idn.13.1308,primary,100,target_year_effect,2023,-0.223667247761
poverty_rate,idn.13.1308,primary,100,target_year_effect,2024,-0.303775788316
poverty_rate,idn.13.1309,primary,100,intercept,intercept_base_2019,6.22324933606
poverty_rate,idn.13.1309,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.550665520724
poverty_rate,idn.13.1309,primary,100,standardized_continuous_feature,labor_force_participation,0.330840982442
poverty_rate,idn.13.1309,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.238756630817
poverty_rate,idn.13.1309,primary,100,standardized_continuous_feature,mean_years_schooling,-0.336492294599
poverty_rate,idn.13.1309,primary,100,standardized_continuous_feature,rice_yield,-0.499356193263
poverty_rate,idn.13.1309,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1309,primary,100,target_year_effect,2020,-0.137812380072
poverty_rate,idn.13.1309,primary,100,target_year_effect,2021,0.136524375937
poverty_rate,idn.13.1309,primary,100,target_year_effect,2022,-0.278034227351
poverty_rate,idn.13.1309,primary,100,target_year_effect,2023,-0.200814619025
poverty_rate,idn.13.1309,primary,100,target_year_effect,2024,-0.253803610303
poverty_rate,idn.13.1310,primary,100,intercept,intercept_base_2019,6.22520114017
poverty_rate,idn.13.1310,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.491604112734
poverty_rate,idn.13.1310,primary,100,standardized_continuous_feature,labor_force_participation,0.36003899957
poverty_rate,idn.13.1310,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.221762056811
