target_id,geography_id,target_year,feature_year,feature_id,focal_value,same_year_training_min,same_year_training_max,inside_same_year_marginal_minmax
poverty_rate,idn.13.1303,2020,2019,labor_force_participation,70.83,61.98,83.1,true
poverty_rate,idn.13.1303,2020,2019,agriculture_share_grdp,34.8158243583,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1303,2020,2019,manufacturing_share_grdp,4.72032550652,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1303,2020,2019,rice_yield,4.938,2.517,6.541,true
poverty_rate,idn.13.1303,2021,2020,mean_years_schooling,7.86,7.09,11.62,true
poverty_rate,idn.13.1303,2021,2020,labor_force_participation,74.64,64.16,81.65,true
poverty_rate,idn.13.1303,2021,2020,agriculture_share_grdp,35.0134962542,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1303,2021,2020,manufacturing_share_grdp,4.75508109296,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1303,2021,2020,rice_yield,4.644,2.471,6.467,true
poverty_rate,idn.13.1303,2022,2021,mean_years_schooling,7.87,7.2,11.63,true
poverty_rate,idn.13.1303,2022,2021,labor_force_participation,71.21,62.7,82.57,true
poverty_rate,idn.13.1303,2022,2021,agriculture_share_grdp,34.0676943144,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1303,2022,2021,manufacturing_share_grdp,4.78222482336,2.57248004994,13.765815103,true
poverty_rate,idn.13.1303,2022,2021,rice_yield,5.263,2.497,6.932,true
poverty_rate,idn.13.1303,2023,2022,mean_years_schooling,7.89,7.48,11.92,true
poverty_rate,idn.13.1303,2023,2022,labor_force_participation,74.44,62.81,78.25,true
poverty_rate,idn.13.1303,2023,2022,agriculture_share_grdp,33.3124300697,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1303,2023,2022,manufacturing_share_grdp,4.75150098407,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1303,2023,2022,rice_yield,5.45,2.298,7.001,true
poverty_rate,idn.13.1303,2024,2023,mean_years_schooling,7.9,7.76,11.94,true
poverty_rate,idn.13.1303,2024,2023,labor_force_participation,76.74,65,80.07,true
poverty_rate,idn.13.1303,2024,2023,agriculture_share_grdp,33.1575577012,1.05966279992,48.4488181812,true
poverty_rate,idn.13.1303,2024,2023,manufacturing_share_grdp,4.71831151626,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1303,2024,2023,rice_yield,5.264,2.473,6.397,true
poverty_rate,idn.13.1304,2019,2018,mean_years_schooling,7.77,6.95,11.44,true
poverty_rate,idn.13.1304,2019,2018,labor_force_participation,68.43,62.78,75,true
poverty_rate,idn.13.1304,2019,2018,agriculture_share_grdp,29.4706551138,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1304,2019,2018,manufacturing_share_grdp,2.98567704565,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1304,2019,2018,rice_yield,3.989,2.635,5.863,true
poverty_rate,idn.13.1304,2020,2019,mean_years_schooling,8.1,7.08,11.45,true
poverty_rate,idn.13.1304,2020,2019,labor_force_participation,70.17,61.98,83.1,true
poverty_rate,idn.13.1304,2020,2019,agriculture_share_grdp,28.0285248981,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1304,2020,2019,manufacturing_share_grdp,2.52142880845,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1304,2020,2019,rice_yield,3.417,2.517,6.541,true
poverty_rate,idn.13.1304,2021,2020,mean_years_schooling,8.11,7.09,11.62,true
poverty_rate,idn.13.1304,2021,2020,labor_force_participation,70.7,64.16,81.65,true
poverty_rate,idn.13.1304,2021,2020,agriculture_share_grdp,27.8175388232,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1304,2021,2020,manufacturing_share_grdp,2.59972043109,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1304,2021,2020,rice_yield,3.91,2.471,6.467,true
poverty_rate,idn.13.1304,2022,2021,mean_years_schooling,8.12,7.2,11.63,true
poverty_rate,idn.13.1304,2022,2021,labor_force_participation,70.06,62.7,82.57,true
poverty_rate,idn.13.1304,2022,2021,agriculture_share_grdp,27.4526587664,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1304,2022,2021,manufacturing_share_grdp,2.72997217989,2.57248004994,13.765815103,true
poverty_rate,idn.13.1304,2022,2021,rice_yield,3.667,2.497,6.932,true
poverty_rate,idn.13.1304,2023,2022,mean_years_schooling,8.3,7.48,11.92,true
poverty_rate,idn.13.1304,2023,2022,labor_force_participation,68.17,62.81,78.25,true
poverty_rate,idn.13.1304,2023,2022,agriculture_share_grdp,26.7965605418,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1304,2023,2022,manufacturing_share_grdp,2.76725473336,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1304,2023,2022,rice_yield,3.845,2.298,7.001,true
poverty_rate,idn.13.1304,2024,2023,mean_years_schooling,8.57,7.76,11.94,true
poverty_rate,idn.13.1304,2024,2023,labor_force_participation,68.51,65,80.07,true
poverty_rate,idn.13.1304,2024,2023,agriculture_share_grdp,26.7581712034,1.05966279992,48.4488181812,true
