target_id,dimension_id,geography_id,geography_name,target_year,feature_year,expected_gap_rmse_units,favorable_peer_gap_rmse_units,m11_support_warning,gap_interpretation_authorized,expected_interval_classification,lag1_expected_years_schooling,lag1_life_expectancy,lag1_underemployment_rate,lag1_annual_rainfall
poverty_rate,living_standards_inclusion,idn.13.1308,Lima Puluh Kota,2024,2023,0.0399211773024,0.895321108621,false,true,within_expected_interval,13.41,73.25,7.11,2875.883297
poverty_rate,living_standards_inclusion,idn.13.1309,Pasaman,2021,2020,-0.458370679813,0.397029251505,false,true,within_expected_interval,12.8,71.15,16.52,3188.559896
poverty_rate,living_standards_inclusion,idn.13.1309,Pasaman,2022,2021,-0.37392651093,0.481473420388,false,true,within_expected_interval,12.81,71.34,15.45,3303.601986
poverty_rate,living_standards_inclusion,idn.13.1309,Pasaman,2023,2022,-0.570219715359,0.285180215959,false,true,within_expected_interval,13.05,71.71,15.06,3965.730773
poverty_rate,living_standards_inclusion,idn.13.1309,Pasaman,2024,2023,-0.553486766386,0.301913164931,false,true,within_expected_interval,13.25,72.04,13.25,3431.683071
poverty_rate,living_standards_inclusion,idn.13.1310,Solok Selatan,2021,2020,-0.269112537588,0.586287393731,false,true,within_expected_interval,12.71,71.32,15.06,2839.225367
poverty_rate,living_standards_inclusion,idn.13.1310,Solok Selatan,2022,2021,-0.419832801995,0.435567129322,false,true,within_expected_interval,12.72,71.52,14.69,3128.814974
poverty_rate,living_standards_inclusion,idn.13.1310,Solok Selatan,2023,2022,-0.700113040351,0.155286890967,false,true,within_expected_interval,12.73,71.89,8.67,3535.487002
poverty_rate,living_standards_inclusion,idn.13.1310,Solok Selatan,2024,2023,-0.503585214937,0.351814716381,false,true,within_expected_interval,12.8,72.22,10.4,2800.576874
poverty_rate,living_standards_inclusion,idn.13.1311,Dharmasraya,2021,2020,-0.361176159349,0.494223771968,false,true,within_expected_interval,12.43,73.04,9.79,3039.796046
poverty_rate,living_standards_inclusion,idn.13.1311,Dharmasraya,2022,2021,-0.61115522178,0.244244709537,false,true,within_expected_interval,12.44,73.47,9.97,3360.740287
poverty_rate,living_standards_inclusion,idn.13.1311,Dharmasraya,2023,2022,-0.603601053217,0.251798878101,false,true,within_expected_interval,12.51,73.84,6.6,3815.293034
poverty_rate,living_standards_inclusion,idn.13.1311,Dharmasraya,2024,2023,-0.832995817654,0.0224041136635,false,true,within_expected_interval,12.68,74.04,7.79,3199.790741
poverty_rate,living_standards_inclusion,idn.13.1312,Pasaman Barat,2021,2020,0.549774326284,1.4051742576,true,false,within_expected_interval,13.61,71.71,15.6,3748.958598
poverty_rate,living_standards_inclusion,idn.13.1312,Pasaman Barat,2022,2021,0.523046443915,1.37844637523,true,false,within_expected_interval,13.68,71.83,10.28,3718.636822
poverty_rate,living_standards_inclusion,idn.13.1312,Pasaman Barat,2023,2022,0.753903934686,1.609303866,true,false,within_expected_interval,13.69,72.14,9.91,4331.760164
poverty_rate,living_standards_inclusion,idn.13.1312,Pasaman Barat,2024,2023,0.688251804204,1.54365173552,true,false,within_expected_interval,13.7,72.44,10.88,3782.060938
poverty_rate,living_standards_inclusion,idn.13.1371,Padang,2021,2020,0.211677272222,1.06707720354,false,true,within_expected_interval,16.52,74.43,9.9,3833.450096
poverty_rate,living_standards_inclusion,idn.13.1371,Padang,2022,2021,0.225332868092,1.08073279941,false,true,within_expected_interval,16.53,74.47,7.67,4272.073887
poverty_rate,living_standards_inclusion,idn.13.1371,Padang,2023,2022,0.199401303107,1.05480123443,true,false,within_expected_interval,16.54,74.71,6.29,4965.282037
poverty_rate,living_standards_inclusion,idn.13.1371,Padang,2024,2023,0.0122433531022,0.867643284421,false,true,within_expected_interval,16.56,74.94,7.99,3578.425027
poverty_rate,living_standards_inclusion,idn.13.1372,Solok,2021,2020,-0.803820891096,0.0374656594935,true,false,within_expected_interval,14.32,73.86,6.96,3004.073527
poverty_rate,living_standards_inclusion,idn.13.1372,Solok,2022,2021,-0.782871197852,0.0584153527379,false,true,within_expected_interval,14.33,73.98,6.29,3274.03972
poverty_rate,living_standards_inclusion,idn.13.1372,Solok,2023,2022,-0.706409755846,0.134876794744,false,true,within_expected_interval,14.34,74.31,5.04,3916.840246
poverty_rate,living_standards_inclusion,idn.13.1372,Solok,2024,2023,-0.741901213873,0.0993853367171,false,true,within_expected_interval,14.36,74.56,7.02,2938.237223
poverty_rate,living_standards_inclusion,idn.13.1373,Sawahlunto,2021,2020,-2.00548173345,-1.22115219077,false,true,materially_more_favorable_than_expected,13.17,72.81,12.71,2803.900303
poverty_rate,living_standards_inclusion,idn.13.1373,Sawahlunto,2022,2021,-1.34565108535,-0.561321542669,false,true,materially_more_favorable_than_expected,13.18,73.2,11.56,3005.110378
poverty_rate,living_standards_inclusion,idn.13.1373,Sawahlunto,2023,2022,-1.24569596536,-0.461366422679,false,true,materially_more_favorable_than_expected,13.42,73.5,7.75,3756.138973
