series_id,indicator_id,bps_var_id,year,period_available,period_id,selected_turvar_id,selected_turvar_label,selected_turth_id,selected_turth_label,stable32_required_count,vertical_dimension,source_title,source_unit,source_last_update,selected_row_count_all_geographies,stable32_selected_count,missing_stable32_codes,duplicate_stable32_codes,selected_excluded_current_codes,nonfinite_stable32_value_count,expected_source_unit_match,exact_selector_labels_match,probe_pass,hold_reasons,normalizer_observed_values,semantic_sha256
m5_gini_march,gini_ratio,98,2025,True,125,191,Perkotaan+Perdesaan,61,Semester 1 (Maret),32,38 Provinsi,Gini Ratio Menurut Provinsi dan Daerah,,2026-08-05 12:26:57,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,232,85aa46df38716912ab3d67ec0d2c6f71e8de0ac1520c3a8e39e9886c5ebb385a
m5_unemployment_august,unemployment_rate,543,2018,True,118,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,698790c3b714846f174d3f576a0f9d5155989907f23d2fae92a889c62acf0e5d
m5_unemployment_august,unemployment_rate,543,2019,True,119,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,8f9dd20a88dcf87fa7258152c8e30274f9246a3c53383c38d20a8c74fbcacb50
m5_unemployment_august,unemployment_rate,543,2020,True,120,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,d58362cdd5dc28fa393e194d033fcf76045e53093a81bf23e66f645d8b2fa408
m5_unemployment_august,unemployment_rate,543,2021,True,121,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,8cbf01e27cd7802044b46af3dc0a4cd3ba8099eefe23b3007fd0309e85b598e0
m5_unemployment_august,unemployment_rate,543,2022,True,122,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,932c2dcacd3d2a9e96701bc3007a89ef0dbec8454902c6ed5112be36817f3f23
m5_unemployment_august,unemployment_rate,543,2023,True,123,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,35,32,,,9100|9400,0,True,True,True,,70,138ae3565231c4ab200df90d22f1cf2f39d9e70e42323540c8b30f536b38b31c
m5_unemployment_august,unemployment_rate,543,2024,True,124,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,78,60844cb34027da8f520068c88b20e9181c82e6f801c55acb7feea6a70bddc7be
m5_unemployment_august,unemployment_rate,543,2025,True,125,0,Tidak ada,190,Agustus,32,38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,2026-05-06 15:41:30,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,78,3f08dbc77d27ad2d1804964cbe8378c4d6f52b5712dffb40ce10692823cc748c
m5_underemployment_source_period,underemployment_rate,1181,2018,True,118,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,710e6456612ab5624baf65341dc17487e9e43b6dfb7a6cfd3f996bead79f8d3e
