target_id,dimension_id,target_direction,geography_id,geography_name,target_year,observed,m11_expected,m11_prediction_interval_lower,m11_prediction_interval_upper,expected_interval_classification,expected_adverse_gap,m11_target_crossfit_rmse,expected_gap_rmse_units,m12_primary_favorable_reference,favorable_peer_gap,favorable_peer_gap_rmse_units,m12_alternative_favorable_reference,alternative_favorable_peer_gap,alternative_gap_rmse_units,frontier_gap_primary_sign,frontier_gap_alternative_sign,frontier_gap_sign_agreement,m11_benchmark_qualified,m11_support_warning,m12_primary_frontier_calibrated,gap_interpretation_authorized,expected_gap_claim_type,favorable_peer_gap_claim_type,causal_claim,theoretical_maximum_claim,policy_counterfactual_claim,monetary_wasted_potential_claim
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2019,7.98,6.86195586456,3.90522653181,13.3759812059,within_expected_interval,1.11804413544,1.9592487017,0.570649420091,5.18601465969,2.79398534031,1.42604935141,5.475,2.505,1.27855131297,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2020,7.81,6.99180367064,4.03507433789,13.505829012,within_expected_interval,0.81819632936,1.9592487017,0.417607182105,5.31586246577,2.49413753423,1.27300711342,6.49,1.32,0.673727637974,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2021,8.01,7.76719431278,4.81046498003,14.2812196542,within_expected_interval,0.24280568722,1.9592487017,0.123927956165,6.09125310791,1.91874689209,0.979327887483,6.735,1.275,0.650759650316,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2022,7.12,6.69402674837,3.73729741562,13.2080520897,within_expected_interval,0.42597325163,1.9592487017,0.217416630804,5.0180855435,2.1019144565,1.07281656212,5.78,1.34,0.683935632489,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2023,7.13,6.88928146533,3.93255213258,13.4033068067,within_expected_interval,0.24071853467,1.9592487017,0.122862674076,5.21334026046,1.91665973954,0.978262605394,6.005,1.125,0.574199691455,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1303,Solok,2024,7.31,7.12047477346,4.16374544071,13.6345001148,within_expected_interval,0.18952522654,1.9592487017,0.0967336236464,5.44453356859,1.86546643141,0.952133554965,4.8,2.51,1.2811033116,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2019,7.04,7.6641855589,4.70745622615,14.1782109003,within_expected_interval,-0.6241855589,1.9592487017,-0.318584138072,6.00481474705,1.03518525295,0.528358269194,6.63,0.41,0.209263887553,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2020,6.78,7.95038753052,4.99365819777,14.4644128719,within_expected_interval,-1.17038753052,1.9592487017,-0.597365474584,6.29101671867,0.488983281327,0.24957693268,6.545,0.235,0.119943935548,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2021,6.8,7.93397171318,4.97724238043,14.4479970546,within_expected_interval,-1.13397171318,1.9592487017,-0.578778851402,6.27460090133,0.525399098667,0.268163555863,6.98,-0.18,-0.0918719506328,1,-1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2022,6,7.65035557829,4.69362624554,14.1643809197,within_expected_interval,-1.65035557829,1.9592487017,-0.842341034529,5.99098476644,0.009015233557,0.00460137273496,6.035,-0.035,-0.0178639904008,1,-1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
