year,geography_id,geography_name,irbi_hazard_id,irbi_source_hazard_label,risk_score,risk_class,krb_hazard_id,krb_source_hazard_label,mitigation_action_count,recommendation_action_detail_status,bridge_status,claim_type,numeric_value_equivalence_authorized,event_taxonomy_join_authorized,prediction_claim_authorized
2024,idn.13.1371,Padang,earthquake,Gempabumi,13.44,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1372,Solok,earthquake,Gempabumi,28.98,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1373,Sawahlunto,earthquake,Gempabumi,16.21,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1374,Padang Panjang,earthquake,Gempabumi,32.40,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1375,Bukittinggi,earthquake,Gempabumi,32.40,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1376,Payakumbuh,earthquake,Gempabumi,21.60,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1377,Pariaman,earthquake,Gempabumi,15.90,tinggi,earthquake,GEMPABUMI,2,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1301,Kepulauan Mentawai,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,29.60,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1302,Pesisir Selatan,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,14.94,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1306,Padang Pariaman,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,14.85,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1307,Agam,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,23.55,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1312,Pasaman Barat,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,19.93,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1371,Padang,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,14.44,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1377,Pariaman,extreme_wave_and_coastal_erosion,Gelombang Ekstrim dan Abrasi,16.49,tinggi,extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1301,Kepulauan Mentawai,extreme_weather,Cuaca Ekstrim,11.18,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1302,Pesisir Selatan,extreme_weather,Cuaca Ekstrim,8.47,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1303,Solok,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1304,Sijunjung,extreme_weather,Cuaca Ekstrim,13.40,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
