target_id,geography_id,target_year,k_neighbors,favorable_neighbor_count,favorable_neighbor_ids,favorable_neighbor_outcomes,favorable_neighbor_distances,favorable_reference,distance_to_favorable_reference,difference_vs_locked_k6_reference,sensitivity_can_replace_locked_k6
poverty_rate,idn.13.1304,2019,5,2,idn.13.1311|idn.13.1308,6.29|6.97,1.02323437707|1.92946712999,6.63,0.41,0,false
poverty_rate,idn.13.1304,2019,7,2,idn.13.1311|idn.13.1308,6.29|6.97,1.02323437707|1.92946712999,6.63,0.41,0,false
poverty_rate,idn.13.1304,2020,5,2,idn.13.1311|idn.13.1308,6.23|6.86,1.68811310224|1.69040801803,6.545,0.235,0,false
poverty_rate,idn.13.1304,2020,7,2,idn.13.1376|idn.13.1311,5.65|6.23,2.81589035509|1.68811310224,5.94,0.84,-0.605,false
poverty_rate,idn.13.1304,2021,5,2,idn.13.1311|idn.13.1308,6.67|7.29,1.12897449204|1.43168934995,6.98,-0.18,0,false
poverty_rate,idn.13.1304,2021,7,2,idn.13.1376|idn.13.1311,6.16|6.67,2.6990772068|1.12897449204,6.415,0.385,-0.565,false
poverty_rate,idn.13.1304,2022,5,2,idn.13.1311|idn.13.1310,5.56|6.51,1.72487876539|0.800554330228,6.035,-0.035,0,false
poverty_rate,idn.13.1304,2022,7,2,idn.13.1311|idn.13.1376,5.56|5.66,1.72487876539|2.86449385076,5.61,0.39,-0.425,false
poverty_rate,idn.13.1304,2023,5,2,idn.13.1311|idn.13.1310,5.56|6.45,1.4303801679|2.21287856904,6.005,-0.125,0,false
poverty_rate,idn.13.1304,2023,7,2,idn.13.1377|idn.13.1311,4.2|5.56,2.59647250263|1.4303801679,4.88,1,-1.125,false
poverty_rate,idn.13.1304,2024,5,2,idn.13.1311|idn.13.1310,5.32|6.56,1.84988198039|2.07791889594,5.94,-0.16,1.15,false
poverty_rate,idn.13.1304,2024,7,2,idn.13.1377|idn.13.1311,4.26|5.32,2.63997440545|1.84988198039,4.79,0.99,0,false
poverty_rate,idn.13.1305,2019,5,2,idn.13.1307|idn.13.1306,6.75|7.1,0.285959894798|1.80818113946,6.925,-2.265,1.17,false
poverty_rate,idn.13.1305,2019,7,2,idn.13.1377|idn.13.1311,4.76|6.29,1.97814558772|2.13576725984,5.525,-0.865,-0.23,false
poverty_rate,idn.13.1305,2020,5,2,idn.13.1377|idn.13.1307,4.1|6.75,1.9261401153|0.863599378633,5.425,-1.025,2.295,false
poverty_rate,idn.13.1305,2020,7,2,idn.13.1373|idn.13.1377,2.16|4.1,2.04104158358|1.9261401153,3.13,1.27,0,false
poverty_rate,idn.13.1305,2021,5,2,idn.13.1307|idn.13.1306,6.85|7.22,0.409641528497|1.15879931388,7.035,-2.495,2.42,false
poverty_rate,idn.13.1305,2021,7,2,idn.13.1373|idn.13.1311,2.38|6.67,2.13142442927|2.13553685915,4.525,0.015,-0.09,false
poverty_rate,idn.13.1305,2022,5,2,idn.13.1373|idn.13.1307,2.28|6.22,1.78900988461|0.638599034642,4.25,0.01,0,false
poverty_rate,idn.13.1305,2022,7,2,idn.13.1373|idn.13.1307,2.28|6.22,1.78900988461|0.638599034642,4.25,0.01,0,false
poverty_rate,idn.13.1305,2023,5,2,idn.13.1373|idn.13.1306,2.27|6.34,1.81206286333|0.829806877498,4.305,-0.145,0.39,false
poverty_rate,idn.13.1305,2023,7,2,idn.13.1373|idn.13.1377,2.27|4.2,1.81206286333|1.98385734586,3.235,0.925,-0.68,false
poverty_rate,idn.13.1305,2024,5,2,idn.13.1306|idn.13.1307,6.27|6.83,1.34299514507|0.633873763361,6.55,-2.27,2.25,false
poverty_rate,idn.13.1305,2024,7,2,idn.13.1373|idn.13.1377,2.33|4.26,1.87825626162|1.95998095955,3.295,0.985,-1.005,false
poverty_rate,idn.13.1306,2019,5,2,idn.13.1305|idn.13.1311,4.66|6.29,1.81573418434|1.76017079771,5.475,1.625,0.765,false
poverty_rate,idn.13.1306,2019,7,2,idn.13.1305|idn.13.1377,4.66|4.76,1.81573418434|2.15043521434,4.71,2.39,0,false
poverty_rate,idn.13.1306,2020,5,2,idn.13.1373|idn.13.1305,2.16|4.4,2.25054992554|1.86719134379,3.28,3.67,0,false
poverty_rate,idn.13.1306,2020,7,2,idn.13.1373|idn.13.1305,2.16|4.4,2.25054992554|1.86719134379,3.28,3.67,0,false
poverty_rate,idn.13.1306,2021,5,2,idn.13.1373|idn.13.1305,2.38|4.54,2.05808853684|1.16013484116,3.46,3.76,0,false
poverty_rate,idn.13.1306,2021,7,2,idn.13.1373|idn.13.1305,2.38|4.54,2.05808853684|1.16013484116,3.46,3.76,0,false
poverty_rate,idn.13.1306,2022,5,2,idn.13.1373|idn.13.1305,2.28|4.26,2.27500971883|1.46731042918,3.27,2.98,0,false
poverty_rate,idn.13.1306,2022,7,2,idn.13.1373|idn.13.1377,2.28|4.13,2.27500971883|2.51591413833,3.205,3.045,-0.065,false
poverty_rate,idn.13.1306,2023,5,2,idn.13.1305|idn.13.1311,4.16|5.56,0.83392374136|1.87569447077,4.86,1.48,0,false
poverty_rate,idn.13.1306,2023,7,2,idn.13.1373|idn.13.1305,2.27|4.16,2.14702204244|0.83392374136,3.215,3.125,-1.645,false
poverty_rate,idn.13.1306,2024,5,2,idn.13.1305|idn.13.1307,4.28|6.83,1.38661968227|1.28432202448,5.555,0.715,2.25,false
poverty_rate,idn.13.1306,2024,7,2,idn.13.1373|idn.13.1377,2.33|4.26,2.51815655424|2.57047378544,3.295,2.975,-0.01,false
poverty_rate,idn.13.1307,2019,5,2,idn.13.1305|idn.13.1306,4.66|7.1,0.284936361221|1.71607147251,5.88,0.87,1.17,false
poverty_rate,idn.13.1307,2019,7,2,idn.13.1305|idn.13.1377,4.66|4.76,0.284936361221|1.77052359002,4.71,2.04,0,false
poverty_rate,idn.13.1307,2020,5,2,idn.13.1373|idn.13.1305,2.16|4.4,1.65515963137|0.844753400092,3.28,3.47,0,false
poverty_rate,idn.13.1307,2020,7,2,idn.13.1373|idn.13.1305,2.16|4.4,1.65515963137|0.844753400092,3.28,3.47,0,false
poverty_rate,idn.13.1307,2021,5,2,idn.13.1305|idn.13.1311,4.54|6.67,0.407160970773|1.83114914698,5.605,1.245,0,false
