Nama Bencana,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
Banjir,30.99999999999999,17,22.999999999999996,45.999999999999986,27.99999999999999,15.999999999999996,11,29,5,18.000000000000018,20.000000000000007,8.999999999999996,253
Cuaca ekstrem,80.00000000000003,61.99999999999997,36,60,25,41.99999999999998,25,52.999999999999986,65.00000000000006,39,41,59.00000000000002,587
Erupsi Gunung Api,,,,4.999999999999998,2.999999999999999,1,,,,,,,8.999999999999996
Gelombang Pasang dan abrasi,2,,,,2,1,1,,,8,,,14
Kebakaran Hutan dan Lahan,,,,1,,,12.000000000000002,,2,10,,,25
Kekeringan,,,,,,,,,2,,,,2
Tanah Longsor,55.00000000000002,17,18,63.000000000000036,39.999999999999986,20,9,9,12,13.999999999999996,13,15.000000000000002,285.00000000000006
Grand Total,168.00000000000003,95.99999999999997,77,175.00000000000003,97.99999999999997,79.99999999999997,58,90.99999999999999,86.00000000000006,89.00000000000001,74,83.00000000000001,1175
